752068
/m/038b8j
/m/038b8j
John Grisham
1996
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10 3
2 1
400 1
8 1
a 12
abortion 1
actually 1
addition 1
after 1
against 1
all 1
already 1
also 1
always 1
an 2
and 15
approached 1
are 3
as 3
award 1
be 3
became 1
because 1
becomes 1
been 3
before 1
begun 2
behalf 1
behind 1
big 1
biloxi 1
blackmail 1
blackmailing 1
book 1
bribe 2
buy 2
by 2
camera 1
can 1
cancer 1
case 1
celeste 1
cheated 1
client 1
closes 1
coffee 1
coleman 1
companies 2
company 2
compensatory 1
concert 1
connive 1
consultant 1
continues 1
convince 1
convinces 1
convincing 1
courtroom 1
damages 1
defendant 1
defense 2
destroyed 1
devastated 1
died 1
directed 1
discovers 1
dupree 1
easter 3
employer 1
employers 1
even 1
explains 1
favorable 1
feeding 1
filed 1
find 1
fitch 6
for 4
foreman 1
four 1
from 1
get 1
had 1
has 8
have 3
having 2
he 7
held 1
her 4
him 2
his 4
however 2
husband 3
ill 1
illness 1
in 5
initial 1
intention 1
investigates 1
is 3
it 1
juries 1
juror 1
jury 3
justice 1
killed 1
known 1
large 1
laws 1
lawsuits 1
lawyers 2
legal 1
lie 1
lonnie 1
lost 2
lung 1
make 2
many 1
marlee 7
measures 1
millie 1
million 5
mississippi 1
monetary 1
much 1
mysterious 1
nearby 1
nicholas 2
nicolas 1
no 1
now 2
observed 1
of 4
office 1
official 1
on 1
once 1
one 1
only 2
or 1
orientation 1
parents 1
past 1
placed 1
plaintiff 2
planned 1
planning 1
plot 1
previous 1
proposal 1
punitive 1
pynex 1
quietly 1
rankin 1
reach 2
reaches 1
realizes 1
reputation 1
resulting 1
returning 1
revealing 1
rich 1
rikki 1
rohr 1
satisfied 1
scenes 1
schemes 1
sent 1
served 1
several 1
shady 1
shaver 1
she 4
shortselling 1
smoking 1
so 2
spiking 1
state 1
steal 1
stealth 1
stocks 1
successful 2
suit 1
sworn 1
sympathetic 1
tape 1
team 1
that 12
the 20
their 1
them 1
they 1
thought 1
through 6
times 1
to 21
tobacco 3
tort 2
trial 3
trials 1
tries 1
trying 1
undefeatable 1
understood 1
used 1
verdict 1
vulnerable 1
warning 1
was 2
watching 1
wendall 1
whilst 1
who 1
whose 1
will 1
with 3
woman 1
wood 1
your 1
