11095942
/m/02q_wpn
/m/02q_wpn
Derek Landy
2007
a 16
about 1
actually 1
advice 1
alias 1
alone 1
along 1
already 1
also 1
an 2
ancients 1
and 12
are 3
arrives 1
as 5
at 1
attacked 1
attacker 1
attacks 1
aunt 2
be 1
beryl 1
bestselling 1
boat 1
books 1
both 1
brooch 1
by 5
car 1
cthulhu 1
demanding 1
dies 1
disguise 1
do 1
edgley 1
faceless 2
fall 1
fergus 1
fireball 1
folklore 1
from 3
funeral 1
gets 1
given 1
gives 1
gordon 1
great 1
h 1
has 1
hat 2
he 2
held 1
her 2
him 1
his 5
however 1
in 5
inspired 2
is 4
it 1
key 1
known 1
late 1
leaving 1
left 1
likely 1
located 1
lovecraft 4
made 1
magic 1
man 4
mansion 2
many 1
may 1
mention 1
mysterious 2
mythos 1
myths 1
name 1
night 1
nonetooliked 1
not 1
novelist 1
of 7
off 1
old 2
one 1
ones 3
only 2
or 1
overcoat 2
p 1
partner 1
piece 1
pleasant 1
present 1
races 1
reading 1
retrieved 1
reveal 1
rivals 1
royalties 1
save 2
saves 1
saying 1
scarf 1
scepter 1
seemingly 1
serpine 1
she 1
shooting 1
similarities 1
skeleton 1
skulduggery 4
something 1
spending 1
staff 1
stephanie 7
stories 1
story 1
strange 2
sunglasses 2
takes 1
tan 2
that 2
the 16
then 1
there 1
they 1
throwing 1
to 4
together 1
too 1
uncle 3
undead 1
up 1
useless 1
uses 1
vast 1
want 1
well 1
were 1
which 1
who 1
wig 1
will 1
with 2
without 1
wizard 1
world 2
