1166981
/m/06g1y4d
/m/06g1y4d
Michel Houellebecq
2000
a 3
almost 1
also 1
and 4
are 1
as 2
barely 1
be 3
becomes 1
bleak 1
bodies 1
book 1
bruno 1
by 1
can 1
cloning 2
conclusion 1
created 1
daytoday 1
decay 1
despite 1
devoid 1
each 1
elaborate 1
emergence 1
end 1
essentially 1
eventual 1
exclusively 1
failure 1
focuses 1
for 1
from 2
halfbrothers 1
his 1
human 1
humans 1
ie 1
in 5
journeys 1
just 2
know 1
lives 1
loner 1
love 2
loveless 2
mature 1
michels 1
narrative 1
novel 1
of 6
on 1
or 1
other 1
particles 2
pioneering 1
plot 1
process 1
protagonists 1
proven 1
race 1
removes 1
replacement 1
reproduction 2
revealed 1
saddened 1
scope 1
seem 1
sexual 1
soon 1
the 12
their 1
theme 1
they 2
to 3
two 1
unrewarding 1
upbringing 1
while 1
who 1
work 1
wrecked 1
