5576841
/m/0dtdy4
/m/0dtdy4
Monica Hughes
1981
a 4
abandon 1
about 1
agricultural 1
all 1
although 1
and 4
bamboo 1
banished 1
because 1
become 1
before 1
being 1
believe 1
boy 1
breaks 1
called 1
colony 1
community 1
curse 1
death 1
die 1
discovers 1
does 1
everyone 1
forbidden 1
forced 1
full 1
grandson 1
guardian 2
has 1
he 3
his 1
history 1
however 1
imprisoning 1
in 2
is 4
isis 3
jody 2
keeper 1
knows 1
lady 1
land 1
learns 1
light 1
london 1
mark 1
meets 1
most 1
mountains 1
nkumo 1
not 1
now 2
of 8
olwen 1
on 1
one 3
original 1
own 1
people 2
place 1
president 1
put 1
sacred 1
sent 1
settlement 1
settlers 1
simple 1
simply 1
so 1
taboos 2
technology 1
the 15
their 1
there 1
they 1
times 1
to 3
truth 1
upper 1
valley 2
was 1
who 1
zone 1
