5606870
/m/0dvzmg
/m/0dvzmg
Chris Pierson

a 17
across 1
act 1
after 2
again 1
agrees 5
aid 2
alive 2
all 2
almost 1
also 1
ambushed 1
an 5
and 30
angers 1
another 1
answer 1
any 1
are 4
armachnesti 3
army 2
art 1
artifacts 1
as 7
at 1
attack 2
attacked 1
attempt 1
attempting 1
attempts 1
aurim 1
avatar 1
avenge 1
back 3
barbarian 2
barreth 1
be 2
because 3
become 1
becomes 1
been 7
before 1
behind 1
below 1
betrayed 1
black 1
blood 1
bloodless 1
bolya 1
both 1
boyla 8
burn 1
but 8
by 3
calls 1
can 1
cant 1
capital 1
captured 1
capturing 1
carrying 1
change 1
chovuk 6
coldhope 1
command 1
commander 1
contact 1
contacts 1
contestant 1
cross 1
current 1
damaged 1
dead 2
decides 3
defeat 1
defeated 1
destroyed 1
dies 1
discover 3
discovered 1
discovers 7
discussing 1
dismissal 1
diversion 1
doesnt 1
dragon 1
dry 1
duke 2
during 1
dying 1
earthquake 1
easily 1
eldako 2
elf 3
embrace 1
emperor 3
ended 1
escapes 1
essana 1
event 1
evil 5
faceless 1
family 1
feel 1
fief 2
fighting 1
fights 2
finds 2
follows 1
for 7
force 1
forced 1
forces 4
forlo 21
free 2
friend 2
from 7
gigantic 1
give 2
gives 1
go 1
goblins 1
god 1
grath 2
guards 1
had 1
hadnt 1
hands 1
has 10
have 3
he 19
help 5
her 6
him 5
his 10
hold 1
home 2
honor 1
hooded 2
horde 4
horizon 1
however 2
hult 6
human 1
hundred 1
if 2
immediate 1
imperial 3
important 1
imprisoned 1
in 7
instead 1
intent 1
into 4
is 12
it 3
keep 5
keeper 1
kidnapped 1
killed 1
kills 2
known 1
later 2
leader 1
league 3
learning 1
learns 1
left 1
legion 2
locked 1
long 1
look 1
lord 1
loyalty 1
mad 1
mage 1
maladar 4
manages 1
many 1
massacre 1
master 1
meanwhile 1
meets 1
men 2
menacing 1
merchant 2
missing 1
mission 1
mistakes 1
moons 1
mortal 1
moved 1
much 1
murdered 1
mutters 1
named 1
new 1
next 1
north 2
not 1
now 1
of 21
on 3
one 2
only 5
opponents 1
other 1
out 2
over 1
owner 1
peace 1
people 1
pirate 3
plains 1
position 1
pregnant 1
preparing 1
presence 1
present 1
previously 1
protector 1
questions 3
raided 1
raiding 2
recruits 1
refuses 2
regain 1
rejoin 1
rekhaz 8
relatives 1
remainder 1
resistance 1
retrieve 1
return 2
returning 2
returns 1
rich 1
robed 1
sack 1
scale 1
send 3
sent 2
serve 1
shape 1
she 9
shedara 4
ship 4
signed 1
sink 1
six 1
sixth 2
small 1
so 7
sorcery 2
soul 1
south 1
stars 2
statue 10
steal 2
steppetiger 2
still 4
stolen 1
superstition 1
taking 1
taxed 1
teacher 1
tells 1
that 22
the 80
their 2
then 1
they 4
thing 1
throne 1
tiderun 5
to 32
tower 1
towns 1
trapped 1
treaty 1
tribes 2
try 1
turns 1
uigan 4
under 1
unprotected 1
up 2
used 1
vaults 1
villages 1
voice 2
vying 1
wait 1
wants 2
war 1
was 4
waters 1
wave 1
well 2
were 1
when 1
which 1
while 2
whom 1
wife 1
wild 1
will 2
wins 1
with 2
work 2
would 1
wounds 1
writ 1
years 1
