5375460
/m/0dj0lv
/m/0dj0lv
Ian Rankin
2001
a 4
about 1
afterwards 1
an 1
and 4
as 1
bankers 1
believe 1
carved 1
chance 1
clarke 1
clean 1
coffin 1
curt 3
dc 1
detective 1
didnt 1
doll 1
dont 1
east 1
edinburgh 1
ensure 1
eyes 1
family 1
fate 1
find 1
first 1
found 1
game 1
girl 1
got 1
had 1
hand 1
he 1
head 1
heaven 1
her 3
his 2
home 1
horror 1
i 2
in 5
inspector 1
internet 1
involved 1
is 2
it 2
john 2
justice 1
know 1
leads 1
life 1
lothian 1
make 1
missing 1
more 1
near 1
next 1
no 3
of 3
okay 1
one 1
only 1
out 2
over 1
pressure 1
quizmaster 1
reached 1
rebus 5
redemption 1
repeat 1
replied 1
risks 1
roleplaying 1
roman 1
said 2
same 1
she 1
shook 1
shoulder 1
shut 1
siobhan 1
slate 1
slowly 1
so 1
squeezed 1
starting 1
student 1
svfallen 1
tackles 1
than 1
that 3
the 8
there 1
this 1
thus 1
time 1
to 3
touched 1
under 1
vanishes 1
virtual 1
was 3
wealthy 1
what 1
wiping 1
wooden 1
world 1
would 1
you 2
youd 1
