14640831
/m/03grkhp
/m/03grkhp
Regina Maria Roche

{"/m/039vk": "Gothic fiction"}
a 3
and 4
are 1
assaults 1
beautiful 1
by 2
cannot 1
clermont 2
complete 1
countess 1
de 1
dissuade 1
education 1
eponymous 1
father 2
foes 1
from 2
her 8
in 1
its 1
lives 1
madeline 2
mysterious 1
mystery 1
noble 1
of 5
origins 1
own 1
paramour 1
past 2
proves 1
pursuing 1
relates 1
seclusion 1
secret 1
series 2
sevignie 1
shadowy 1
she 1
story 1
strength 1
the 4
they 1
through 1
to 1
travels 1
trials 1
tribulations 1
uncovers 1
unravelling 1
until 1
virtue 1
visited 1
who 1
with 2
