308435
/m/01svsq
/m/01svsq
Rick Moody
1994
173 1
24 1
a 3
adultery 1
affair 1
affluent 1
age 1
alcoholism 1
alienated 1
an 1
and 14
are 4
arise 1
as 1
ben 2
both 2
canaan 1
centers 1
children 1
climate 1
complications 1
connecticut 2
currently 1
daily 1
dangerous 1
daughter 1
day 1
dealing 1
different 1
difficulties 1
down 1
drug 1
during 2
each 1
elena 2
encounters 1
escapism 1
experimentation 1
families 3
family 1
females 1
focuses 1
four 1
from 2
have 1
height 1
her 4
his 2
hood 1
hoods 2
hours 1
ice 2
in 2
including 2
is 4
janey 2
jim 1
just 1
liaisons 1
lies 1
life 1
major 1
males 1
married 1
melting 1
member 1
mikey 2
narrated 1
neighbor 1
neighboring 1
neighbors 1
new 1
novel 3
of 7
on 3
opinion 1
over 1
overridden 1
own 2
parents 1
paul 1
perspectives 1
place 1
political 1
promoting 1
revolution 1
sandy 2
several 1
sexual 3
social 1
storm 2
story 1
strikes 1
suburban 1
takes 1
thanksgiving 1
that 1
the 19
their 3
them 1
they 1
throughout 1
town 1
tumultuous 1
two 2
use 1
ventures 1
views 1
weekend 1
wendy 1
when 1
who 1
wife 1
williamses 2
with 4
