12667
/m/03b5d
/m/03b5d


{"/m/02mdj1": "Religious text"}
a 12
about 1
abraham 11
abram 3
after 2
again 1
age 1
all 2
ammonites 1
among 2
ancestor 1
ancestors 1
and 30
another 1
are 4
as 5
asks 2
assigns 1
at 3
barren 2
be 6
bear 1
becomes 4
bedside 1
before 1
being 1
birth 1
blessing 1
bones 1
book 1
born 1
brethren 1
brings 1
brothers 2
buried 1
but 7
by 5
calls 1
can 1
canaan 1
changed 2
children 2
chosen 1
circumcision 1
city 2
coffin 1
comes 1
commandment 1
concubine 1
consecrates 1
corrupted 1
country 1
covenant 3
creates 1
daughters 1
days 1
death 1
deathbed 1
deception 1
deluge 1
demanding 1
descendants 3
destroy 4
destruction 1
dies 2
driven 1
earns 1
edomites 1
egypt 4
egyptian 1
ends 1
esau 2
established 1
euphrates 1
even 1
exhorts 1
family 3
famine 1
father 4
favored 1
favourite 1
find 1
first 1
flees 1
flood 1
for 5
foreign 1
found 1
four 1
from 4
fruitful 1
future 2
gains 1
gives 1
giving 1
god 15
good 1
goshen 1
great 3
greatgrandchildren 1
hagar 3
handmaiden 1
handmaidens 1
has 2
he 9
heavens 1
hebron 2
heir 1
her 1
him 2
his 24
home 1
households 1
hundred 1
i 1
if 3
in 12
incest 1
inherit 1
insistence 1
instead 1
instituted 1
instructs 1
interred 1
into 2
iraq 1
is 14
isaac 5
ishmael 4
israel 2
it 4
its 1
jacob 5
jealous 1
joseph 4
just 1
keturah 1
knife 1
land 4
lay 1
lead 1
leah 1
live 1
lives 1
lot 1
machpelah 2
make 1
makes 1
males 1
man 2
mankind 1
men 1
mesopotamia 2
midianites 1
might 1
moabites 1
modern 2
mother 1
multiply 1
name 2
named 1
nation 1
nephew 1
noah 1
not 3
numberless 1
numerous 1
of 20
old 1
on 2
only 1
oppression 1
other 1
out 2
people 1
persons 1
pharaoh 1
prays 1
promised 1
promises 1
promising 2
pronounces 1
prosperous 1
prospers 2
protests 1
purchases 1
put 1
rachel 1
rebekah 2
relations 1
remains 1
remember 1
replies 2
repopulated 1
resolves 1
restrains 1
reveals 1
righteous 3
river 3
sacrifice 1
sake 1
sarah 5
sarai 1
saved 1
saves 1
saving 1
second 1
see 1
seed 1
sends 2
servant 1
seventh 1
seventy 1
shall 3
she 1
should 1
sight 1
sign 1
sin 1
sins 2
six 1
slavery 1
slay 1
sodom 2
sold 1
son 3
sons 2
spared 1
stars 1
suffer 1
take 2
tells 1
ten 2
tests 1
that 9
the 42
their 3
them 6
there 2
they 2
through 4
thy 1
time 1
to 24
tomb 3
travel 1
tribes 1
twelve 2
twins 1
two 1
uncle 1
upon 1
very 1
water 1
when 1
where 2
which 1
who 1
whole 1
whom 1
whose 2
wicked 1
wife 4
wilderness 1
will 5
with 6
wives 2
world 4
years 1
