23379698
/m/06w5g4q
/m/06w5g4q
Mary Renault
1953

20th 1
a 14
about 3
affections 1
allegory 1
alludes 1
also 2
ambivalence 1
an 2
ancient 2
and 7
antigay 1
are 1
army 1
as 5
at 2
away 1
be 1
blackouts 1
bomb 1
british 1
by 4
century 1
character 2
chariot 1
charioteer 1
christianity 1
come 2
community 1
composed 1
compounded 1
concerns 1
conflict 1
confused 1
conscientious 3
constituted 1
contrasting 1
critics 1
crucial 1
de 1
deal 1
decide 1
derives 1
describes 1
dialogue 1
different 1
discomfort 1
dramatized 1
dunkirk 2
during 2
employed 1
established 1
ethical 2
evacuation 1
evacuees 1
exalted 1
examining 1
experienced 1
explored 2
explores 1
extended 1
feelings 1
focus 1
focusing 1
for 2
force 1
free 1
friend 1
from 4
gay 3
greece 2
had 1
has 1
her 1
herself 1
his 4
historical 1
homosexual 1
homosexuality 2
homosexuals 1
hospital 1
if 1
ii 1
in 7
instead 1
is 5
issues 1
it 1
its 1
larger 1
laurie 3
leadership 1
lesbian 1
lie 1
lifestyle 1
literary 1
longer 1
love 1
lovers 2
male 3
men 1
military 2
must 1
nature 1
naval 2
nightly 1
no 1
not 1
novel 3
novels 1
nurse 1
objector 3
odell 1
of 8
officer 2
on 2
one 1
or 1
own 3
pacifist 1
paganism 1
party 1
period 1
phaedrus 1
philosophical 1
philosophizes 1
plato 2
prejudice 1
problems 1
protagonist 1
quaker 1
raids 1
regarded 1
religious 1
renault 5
romance 1
romantic 1
scene 1
school 1
seen 1
sense 1
set 1
setting 1
sexually 1
she 2
social 1
societies 1
soldier 1
some 1
stories 1
story 2
subculture 1
symposium 1
terms 1
the 22
theme 1
this 2
through 1
title 1
to 6
tour 1
treating 1
truly 1
turning 1
two 1
very 1
war 2
warmup 1
warrior 1
wartime 1
was 1
what 1
whereas 1
whether 1
which 1
while 1
who 1
with 5
worked 1
world 1
would 1
wounded 1
young 3
