13945880
/m/03cp023
/m/03cp023
Julio Cortázar
1968
{"/m/014dfn": "Speculative fiction"}
a 51
about 6
accounts 1
accusation 1
across 2
acts 1
ad 1
advances 2
advantage 1
afoot 1
again 3
agree 1
agrees 1
aid 1
all 1
alone 3
along 2
also 3
alternative 1
an 8
and 38
angrily 1
anonymous 2
another 4
anxious 1
apartment 2
apparently 2
are 6
around 3
arouses 1
arrives 2
art 1
as 12
assist 1
at 16
attach 1
attack 1
attend 1
attention 1
attracted 1
austin 5
away 3
back 6
backfires 1
barge 1
be 4
because 1
bed 2
been 3
before 3
begin 2
begins 1
being 2
believing 2
best 1
between 1
blinking 1
boat 1
body 1
book 3
boredom 1
both 2
branch 1
breaks 1
built 1
but 15
by 13
cafe 1
call 1
called 1
canal 1
canalwhere 1
canoe 3
cant 1
case 1
catch 1
celia 8
ceremony 1
certain 1
changed 1
chaotic 1
check 1
childish 1
christmas 2
city 6
cluny 1
collective 1
come 2
complex 1
concludes 1
concluding 1
confidence 1
conflicting 1
confused 1
connected 1
constructive 1
contents 1
continued 1
contracted 1
controversial 1
country 1
couple 1
cows 1
craft 1
crowd 1
dark 1
date 1
day 1
death 2
decides 1
delight 1
delighted 1
depicts 1
describe 2
describes 1
desire 1
detailing 1
development 1
device 1
directly 1
director 2
disbelief 1
distracted 1
disturbed 1
diversions 1
doctor 1
does 3
doll 3
dolls 1
door 4
drawn 1
effects 1
effort 1
efforts 1
encounters 1
ends 1
engine 1
eve 1
even 1
evening 1
events 1
exiting 1
experimentals 1
expresses 1
fallen 1
familially 1
fancies 1
feel 1
feelingsagain 1
female 1
finally 2
find 1
finding 1
finds 2
first 2
flashes 1
floor 2
follow 3
following 1
follows 1
for 9
fortune 1
frau 4
french 1
friends 1
from 7
get 2
girl 4
girlfriend 2
given 1
gloomy 1
gotten 1
government 1
great 1
groped 1
group 7
guard 1
hallway 1
hands 1
has 10
have 5
having 1
he 13
heads 1
heart 1
helene 14
her 12
herself 2
hiding 1
him 1
himself 3
his 7
home 2
hopes 1
hospital 1
hotel 3
humiliated 1
imaginary 1
immediate 2
immediately 1
implies 1
important 1
imprisoned 1
in 33
indeed 1
individuals 1
indulging 1
informed 1
inner 1
innocence 1
insinuate 1
instead 2
institute 2
intellectual 1
intelligent 1
intercepts 1
interests 1
into 3
introspective 1
invent 1
inventor 1
investigation 1
invited 1
invites 1
inviting 1
is 21
island 1
it 14
its 1
itself 2
jocular 1
join 2
juan 20
jumps 1
just 1
kind 2
knocks 1
last 1
later 1
lawn 1
lead 1
leans 1
learns 1
least 1
leave 1
leaves 3
length 1
letter 2
like 1
little 1
living 1
london 2
lonely 1
look 2
loses 1
love 2
lover 1
make 2
makeshift 1
man 4
managerial 1
manufacturer 1
marks 1
marrast 15
marta 4
masturbatory 1
matter 1
may 3
meanwhile 2
medical 1
meditating 1
meet 1
meets 1
member 3
mental 1
metropolis 1
middle 3
might 2
moment 1
momentarily 1
monlogue 1
monsieur 1
more 2
morning 1
mortified 1
most 4
motives 1
mower 2
much 3
museum 4
my 1
mysterious 2
mysteriously 1
named 3
narrative 3
near 1
neck 1
neurotics 2
never 1
new 1
nicole 11
night 4
no 1
normal 1
not 3
notably 1
nothing 1
nowhere 1
objects 1
observe 1
observed 1
ochs 2
of 35
off 4
old 5
on 7
once 1
one 7
onto 1
opens 2
or 6
original 1
ostensibly 1
other 1
others 1
out 6
outrage 1
outside 1
over 2
overboard 1
paid 1
painful 1
painting 3
pair 1
paredros 1
paris 8
part 1
passes 1
passionate 1
past 1
perhaps 2
persons 1
picture 1
piece 2
pills 1
planning 1
play 1
playful 1
playing 1
plays 1
point 1
poisoned 1
polanco 3
pond 2
possible 1
power 1
powerful 1
pranksters 1
present 1
presented 2
presume 1
previously 1
proceeded 1
proclaim 1
production 1
profession 1
reach 1
reaction 2
reader 2
realizes 1
receive 1
received 1
receives 1
recicprocate 1
referred 3
refuge 1
refuse 1
rejecting 1
rejection 1
related 1
relationship 1
remaining 1
reminded 1
removed 1
removes 1
repack 1
rescue 1
reshuffle 1
restaurant 1
results 1
resuming 1
retrieve 1
returning 1
revealed 1
revolves 1
rising 1
romantic 1
room 6
run 2
runs 1
rupture 1
rushes 2
same 1
scene 1
scheme 2
scotland 1
screams 1
sculptor 1
sculpture 2
second 1
security 1
seduces 1
see 1
seek 1
seems 1
sees 2
sensitive 1
sent 2
sentences 1
sexual 1
shares 1
she 10
shore 1
sight 1
simply 1
sinister 2
sits 1
sitting 2
sleeping 1
small 6
sneaking 1
so 2
social 1
some 1
someone 1
something 2
soon 2
speculations 1
spent 1
spill 1
spirit 1
stabs 1
staff 1
stands 1
start 1
station 1
statue 1
stay 1
steadfastly 1
stifled 1
stop 1
stops 1
streetcar 1
struggling 1
student 1
successfully 1
suddenly 1
suggest 1
suspicions 1
taken 1
takes 2
tale 1
talk 1
tartar 2
tartars 13
teach 1
tell 9
telling 1
temporarily 1
terms 1
than 1
that 9
the 120
their 5
them 5
themselves 2
then 2
there 4
they 8
things 1
this 6
those 1
through 4
throws 1
time 6
to 60
together 1
too 1
top 1
tourist 3
towards 1
town 1
townspeople 1
tracks 1
train 2
traincar 1
translator 1
travels 1
trial 1
tries 1
trying 1
turn 1
turns 2
twists 1
two 2
typical 1
ultimately 1
unaccountably 1
undefinable 1
undesirable 1
unfolds 1
unhappy 1
unrequited 1
unveiling 1
up 2
use 2
useless 1
usually 1
vague 1
vampiric 1
various 1
vienna 2
visiting 1
wade 1
waiting 1
walking 1
walks 1
wanders 1
was 2
watches 1
water 1
way 1
what 2
when 4
where 8
which 4
while 4
who 7
whom 3
why 1
will 1
with 14
woman 7
women 1
work 1
works 2
world 2
write 1
written 1
wrong 1
yard 1
yet 1
young 5
youngest 1
