1510010
/m/056x2w
/m/056x2w
Nancy Kress
1996
0 1
0001 1
1 2
1130 1
1150 1
125 1
2121 1
2128 1
31 1
387 1
4082 1
4450 1
8 1
a 59
about 4
accept 1
accepting 1
accepts 1
accompanied 1
accompanies 1
accompanying 1
according 1
acting 1
action 1
activities 1
activity 1
actually 2
adjusting 1
administering 1
administers 1
advantage 1
advocate 1
after 1
afterwards 1
again 3
age 1
ago 1
agoraphobia 4
agrees 1
agreesmdashitll 1
aircar 3
alarmingly 1
alive 1
all 7
along 1
also 8
alternatively 1
always 3
ambush 1
america 1
american 1
an 6
analgesics 1
and 54
annie 1
announce 1
another 1
anxiety 1
any 2
anyone 1
anything 1
apart 1
apprehended 1
approached 1
april 1
aranow 3
are 15
around 1
arrest 1
arrive 2
arrived 1
artificially 1
as 22
asked 1
associated 1
assures 1
at 13
attack 1
attacked 1
attacks 2
attempting 1
attraction 1
autres 1
baby 4
back 4
base 1
be 9
because 1
become 1
becomes 1
becoming 2
been 10
before 3
beggar 1
begging 3
behalf 1
behind 1
being 2
believe 1
below 1
beneificial 1
besides 1
best 1
better 1
between 1
biggest 1
biofeedback 1
bizarre 1
body 1
bombing 1
bonding 1
book 1
bot 3
bothered 1
boy 1
brain 4
brains 2
break 1
breakin 3
breaks 1
breasts 1
bribes 1
broke 1
brookhaven 1
building 1
business 1
but 9
by 18
called 1
calls 2
camden 2
camp 3
can 7
cancel 1
candidate 3
careful 1
carry 1
case 1
causes 2
cazie 10
ceasing 1
cell 2
certificates 1
cest 1
champagne 1
chance 1
change 12
changed 1
changes 2
changing 1
channeled 1
chapter 1
character 1
chartered 1
chemistry 1
chicago 1
children 1
circumstances 1
classesmdashwas 1
cleaner 2
close 1
come 1
comes 1
comlink 2
companions 1
composite 1
compound 1
computer 1
concentration 1
concerned 2
condition 2
conditions 2
confront 1
confused 1
conquer 1
contact 1
contacted 1
control 2
controlled 1
convent 1
conversation 1
convince 1
corporation 1
cost 1
could 4
count 1
counteragent 3
counterfeit 1
county 1
courting 1
create 2
created 1
creating 1
credit 1
croire 1
curious 1
cuts 1
daring 1
data 1
datadip 1
datadipper 1
day 2
days 1
de 1
dea 1
dead 2
dealing 2
death 2
debate 1
deceived 1
december 1
decided 1
decides 2
decon 3
delivered 1
delivering 1
delivery 1
delusions 1
demands 1
denied 1
departs 1
destroyed 3
destroying 1
destroys 1
destruction 1
detained 1
deus 1
developed 1
diana 1
different 1
dip 2
dipped 1
dippers 1
dipping 1
directly 1
dirk 7
discontinued 1
discovered 1
discovers 1
distributed 1
district 1
divorce 1
do 5
doctor 2
doctors 1
does 5
doesnt 3
doing 2
donald 1
done 1
donkey 8
donkeys 3
dont 1
down 1
dr 1
drawn 1
drone 1
drops 1
drug 1
drugs 1
dtre 1
due 1
dumps 1
during 1
dying 1
each 1
east 3
effects 1
elected 1
election 4
eligible 1
else 1
emails 2
enclave 5
enclaves 3
endangered 1
endless 2
endlessly 1
engineered 1
enjoying 1
enough 1
ensure 1
epileptic 1
epilogue 1
epistolary 1
equipment 1
escape 2
escaping 1
euphoria 1
evade 1
even 2
events 1
ever 1
everyone 2
everything 1
evicts 1
evidently 1
ex 1
exact 1
except 1
excuse 1
exist 1
existence 1
explaining 1
explains 1
explosive 1
extremely 1
exwife 1
face 1
fact 2
factory 4
fall 2
fame 2
family 1
far 4
fastacting 1
fear 2
feel 1
feels 1
fierce 1
fight 1
figure 1
figurehead 1
fin 1
find 1
finds 1
finemdashand 1
first 4
fit 1
fix 1
fool 1
for 19
forces 1
foreign 2
form 1
found 3
fragile 1
francy 2
friend 1
from 8
frozen 1
fully 2
furthermore 2
gains 1
gametes 1
gave 2
genemod 1
get 3
gets 1
gift 1
girl 2
glimpse 1
goes 3
going 1
gone 2
got 1
gotten 1
granddaughter 1
great 1
group 1
had 1
hallucinates 1
hampering 1
hands 1
hardwire 1
harold 2
has 19
hasnt 1
have 11
havent 1
having 1
haywire 1
he 10
head 1
healed 1
heart 1
help 3
helping 2
helpmdashespecially 1
her 39
here 1
herself 5
hidden 1
him 4
himself 1
his 8
hits 1
holding 1
holo 4
holographic 1
home 4
hopes 1
horse 1
hours 1
house 1
how 2
however 1
humans 1
if 5
im 1
imaginative 1
immediately 1
impossible 1
improperly 1
in 30
including 2
induce 1
inducing 1
infants 1
infect 1
infected 1
infection 1
information 2
informs 1
inhibited 1
inhibitions 1
inject 1
injecting 1
innovation 1
insane 1
insists 1
instead 2
instructs 2
instrument 1
intend 1
intense 2
intention 1
interchapter 1
into 10
introduced 2
investigate 1
investigation 1
investment 1
involved 1
is 47
it 20
itmdashor 1
its 3
itself 1
jackson 28
january 1
jennifer 5
jomp 1
josh 1
just 3
kc 5
keep 2
kelvincaster 1
kelvincastner 2
kept 1
know 1
knowing 1
knows 1
la 6
labor 1
laboratories 1
labs 1
lack 1
landslide 1
last 1
lastminute 1
later 4
launched 1
le 1
lead 1
leader 1
leaves 4
legally 1
legendary 1
leisha 2
les 1
life 3
like 2
line 1
lining 1
lipservice 1
lived 1
liver 3
livermdashan 1
livers 12
living 1
lizzie 17
locked 1
longdead 1
looking 2
lose 1
lot 2
lover 1
lower 1
lowsecurity 1
lull 1
machina 2
made 1
makes 2
making 1
manhattan 3
md 1
meaning 1
means 1
meant 1
meanwhile 2
meddling 1
medical 2
medicine 1
meets 1
member 1
members 1
message 3
mexico 1
midnight 1
mike 1
mikhailovich 1
million 1
miranda 11
mirandasharifi 1
moments 1
month 1
monthearly 1
months 1
moon 1
more 8
morrow 1
most 1
mother 1
motive 1
moved 1
moves 3
moyen 1
much 1
must 1
mutating 1
name 3
namely 1
national 1
native 1
nearby 1
nearly 2
necessity 1
need 2
needing 1
needs 2
neither 1
nervous 1
neurological 1
neuropharm 2
neuropharmaceuticals 1
neuropharms 3
new 4
newborns 1
newlydesigned 1
news 2
newsgrid 1
newsgrids 2
next 3
nightmare 1
no 8
nonreversible 1
nonsomatic 1
nor 1
normal 1
not 5
novel 1
novelty 2
november 1
now 6
nuclear 1
nursing 2
occasional 1
odd 1
of 57
office 2
official 1
on 26
once 3
one 11
oneself 1
only 6
opens 1
opportunity 1
or 1
orbital 3
orchestrated 1
order 1
original 1
os 1
other 2
othermdashon 1
others 1
out 7
over 2
overcome 1
oversees 1
own 2
owns 2
pain 2
pale 1
part 4
patient 1
patty 1
paying 1
penetrate 1
pennsylvania 1
people 3
perks 1
personal 1
personally 1
persontoperson 1
pertaining 1
photos 1
physical 1
placating 1
