12200157
/m/02vvlsm
/m/02vvlsm
Hilari Bell
2003
a 12
accustomed 1
against 1
agrees 1
all 1
also 2
amount 1
an 6
and 15
another 1
anything 1
appear 1
apprentice 1
army 5
arrive 2
arrows 2
as 2
astronomical 1
attempting 2
back 1
be 2
before 2
being 1
believes 1
better 1
bone 1
bonus 1
broke 1
bronze 1
but 3
by 2
came 1
camp 1
captured 1
caught 1
challenge 1
champion 1
charge 3
city 2
collar 1
commander 3
cottage 1
could 1
country 2
cripples 1
cut 1
dead 1
death 1
defeat 2
defeated 1
deghan 3
deghans 4
deghass 1
dissolved 1
do 2
does 1
down 1
driven 1
duel 1
during 1
else 1
empire 1
evil 1
false 1
farsala 5
farsalan 2
father 1
five 1
folk 1
for 7
found 1
four 1
from 2
front 1
get 1
gets 1
goes 1
gold 2
good 1
goods 3
grabs 1
grudge 1
guys 1
half 2
hand 1
has 1
have 2
he 14
her 1
high 2
him 4
his 8
holds 1
horse 1
horses 1
hrum 8
in 8
infiltrated 1
initial 1
injury 1
into 1
iron 1
is 19
it 2
items 1
jiaan 3
kavi 4
killed 1
kills 1
knocked 1
known 1
later 2
life 2
like 1
line 2
long 1
looking 1
man 1
mazad 1
meet 1
merahb 2
mining 1
money 1
news 1
nonexistent 1
northern 1
not 1
obedient 1
of 8
on 1
or 2
own 1
pains 1
pay 2
peasant 2
peasants 1
peddler 1
plan 1
plated 1
price 1
pulls 1
race 1
rate 1
ready 1
remarkable 1
returns 1
right 1
rounds 1
rulers 1
running 1
saplings 1
save 2
scars 1
scouts 1
scrounge 1
second 1
seconds 1
sees 1
selling 3
serious 1
shot 2
should 1
slams 1
some 1
soraya 1
spans 1
spears 1
spy 1
staying 1
still 1
stuff 1
supply 1
sword 2
swords 1
than 1
that 5
the 27
their 4
them 1
then 1
thick 1
thinks 1
this 1
throughout 1
thrown 1
throws 1
time 1
to 18
towns 1
traitor 1
troubles 1
try 1
turn 1
unconscious 1
unknown 1
unstoppable 1
up 4
usual 1
victory 1
virtually 1
visit 1
volley 1
wakes 1
wall 1
was 1
when 4
where 2
while 2
who 1
will 1
willing 1
with 5
world 1
yards 1
year 1
years 1
young 1
