4818333
/m/0cpjg5
/m/0cpjg5
Lindsey Davis
1995
{"/m/0lsxr": "Crime Fiction"}
a 9
again 1
allows 1
and 4
answers 1
as 2
balbinus 2
before 1
but 1
by 1
called 1
cares 1
carried 1
caught 1
city 1
closest 1
convicted 1
count 1
couple 1
criminals 2
crowd 1
depart 1
departure 1
desperately 1
emperor 1
engineer 1
even 1
falco 3
family 1
felon 1
fill 1
finally 1
first 1
friend 1
girlfriend 1
go 1
has 2
have 1
helena 1
him 1
his 1
in 3
is 4
justina 1
kidnapping 1
law 1
leading 1
left 1
longus 1
more 1
murderer 1
murders 1
of 4
one 1
or 1
out 1
patrician 1
petronius 1
pius 1
places 1
possible 1
quickly 1
quietly 1
quirk 1
reverberates 1
robbery 1
roman 1
rome 2
sentence 1
shouldnt 1
step 1
supply 1
suspects 1
takes 1
than 1
that 1
the 6
their 1
there 1
throughout 1
time 1
to 7
trying 1
two 1
underworld 1
upon 1
vacuum 1
vespasian 1
void 1
