17672576
/m/047qtgb
/m/047qtgb
Len Deighton
1974
{"/m/06wkf": "Spy fiction"}
a 29
aboard 1
about 1
abrasive 1
accident 1
acquired 1
adjoining 2
admiral 3
advising 1
after 3
ahead 1
aircraft 1
airport 1
all 3
aloft 1
along 1
also 3
altogether 1
american 1
an 2
and 20
appears 1
arctic 3
armstrong 13
arrange 1
arranged 1
arrived 1
as 2
assistant 1
assistants 1
association 1
at 8
away 1
back 1
battersea 1
be 1
been 7
before 2
being 1
ben 1
blow 1
bonnet 1
book 1
books 1
boss 1
both 1
branch 1
breaking 1
breaks 1
brief 1
british 1
but 4
by 6
car 2
causing 1
center 2
charles 1
classified 1
clique 1
close 1
clothes 1
coconspirators 1
collapse 1
colleague 1
colonel 3
communications 1
condition 2
confronted 1
contain 1
corps 1
corpse 1
crucial 1
data 1
dawlish 4
decides 1
deciding 1
defection 2
deserted 1
die 1
died 1
discover 2
discovers 3
discredit 1
disturbed 1
do 1
does 2
door 1
down 3
during 1
earlier 2
electronic 1
end 1
escorts 1
even 3
explanation 1
facility 2
fall 1
ferdy 2
finds 2
fires 1
fitted 1
flat 7
fleet 1
flown 1
for 4
forced 1
former 3
foxwell 12
french 1
from 5
gathered 1
germany 1
get 1
go 1
grabs 1
had 3
has 9
hauled 1
have 4
he 24
head 1
heathrow 1
helicopter 3
hidden 1
highranking 1
him 13
his 13
holding 2
home 2
house 2
ice 3
identical 1
if 1
images 1
immediately 1
in 10
including 1
individual 1
information 1
inserted 1
instead 1
intelligence 3
intent 1
into 2
is 14
it 7
journey 1
keep 1
key 1
kgb 1
kidney 1
kind 1
later 1
leading 1
learn 1
learns 1
leave 3
leaves 1
leaving 2
left 1
legs 1
less 1
lift 1
location 1
london 2
made 1
make 1
makes 1
man 1
manages 1
marine 1
medical 2
meet 1
member 2
men 1
message 1
met 1
mission 2
more 1
mp 1
new 1
nightmare 1
no 1
north 1
northern 1
not 2
nuclear 1
occupant 1
ocean 1
of 15
off 2
offer 1
officer 1
officers 1
old 2
oleg 1
on 8
one 2
open 1
opens 1
operation 1
ordered 1
organisation 1
out 3
own 2
owns 1
palatial 1
paperwork 1
part 1
party 3
passing 1
person 1
personal 1
phone 1
photo 1
photographs 2
photos 1
place 1
plan 1
planned 1
playing 1
police 1
previous 1
public 1
puzzled 1
quit 1
ransacked 1
reaches 2
real 1
rearadmiral 1
receive 1
receives 1
recognises 1
recruit 1
refurnished 1
releasing 1
remote 1
removed 1
remoziva 5
rendezvous 1
replacing 1
reported 1
restaurant 3
return 1
returning 3
returns 1
revealed 1
road 1
running 1
rural 1
safe 1
scheme 1
schlegel 4
scotland 1
scottish 1
seen 1
shortly 1
shows 1
siblings 1
singleengine 1
sister 1
sixweek 2
small 2
snow 1
so 1
some 1
soviet 3
special 1
staggers 1
step 1
still 2
stok 3
storm 1
story 1
struggle 1
studies 2
submarine 3
surfaced 1
surprised 1
suspicious 1
takes 3
talks 2
taxi 1
techniques 1
tell 1
that 7
the 42
their 3
they 8
thinking 1
this 1
though 1
through 1
time 1
to 30
toliver 1
tolliver 2
traces 2
treat 1
treatment 1
tries 1
turn 1
turns 2
two 1
unauthorised 1
unidentified 1
uniform 1
unify 1
unknown 1
use 2
using 1
usn 1
verify 1
visit 1
waiting 1
wardrobe 1
warfare 1
was 3
way 1
we 1
well 1
west 1
what 1
when 3
where 6
which 5
while 1
who 8
will 1
with 6
within 1
woman 1
woocp 1
work 1
worked 1
year 1
yet 1
