1449448
/m/052hf6
/m/052hf6
Ernest Hemingway
1999
a 14
about 1
accompanied 1
acknowledgments 1
african 1
after 1
airborne 1
alcohol 1
an 2
and 19
animal 1
arap 1
are 3
as 7
asks 1
assistant 1
at 4
attacked 1
back 1
basin 1
because 2
becomes 1
beds 1
been 1
being 2
blackmaned 1
blend 1
book 4
by 3
cafs 1
camp 5
cast 1
century 1
chance 1
chapters 1
characters 1
christmas 2
chungo 1
close 1
colony 1
communication 1
congo 1
consciousness 1
control 1
cook 1
crazed 1
customs 1
daily 1
dance 1
death 1
debba 1
december 1
deputized 1
describes 2
determined 1
dh 1
digressions 1
district 1
diverse 1
doctor 1
during 2
dysentery 1
editor 1
entranced 1
ernest 8
escape 1
explains 1
farm 1
fiction 1
finally 1
find 1
finish 1
first 1
flank 1
food 1
for 6
from 4
game 5
gathers 1
gc 1
george 1
gin 1
glossary 1
gone 1
good 1
grass 1
group 2
guns 1
hacked 1
had 1
halfway 1
handing 1
has 2
have 2
he 5
hemingway 2
her 2
highlands 1
his 5
hunt 1
hunter 1
if 1
in 12
include 1
includes 1
indulges 1
introduction 1
is 8
jail 1
joined 1
jokingly 1
kamba 2
keiti 1
kenya 1
kenyan 1
kikuyu 1
kilimanjaro 1
kill 2
killed 1
kills 1
large 1
lawrence 1
learn 1
leaves 1
leaving 1
leopard 1
light 1
lion 3
local 4
maintains 1
makes 1
mark 1
mary 7
maumau 3
mbebia 1
meina 1
members 1
memoir 1
memories 1
men 2
michigan 1
mid20th 1
misses 1
months 1
msembi 1
mt 1
nairobi 2
narrator 1
nature 1
ngoma 2
nguili 1
of 15
on 1
opens 1
organized 1
orwell 1
other 2
others 1
parisian 1
patrick 1
percival 1
period 2
philip 1
pine 1
place 1
practices 1
present 1
previous 1
prey 1
protracted 1
quality 1
reasons 1
rebellion 3
rebels 1
refer 1
relationships 2
religion 1
reserve 1
returns 1
risk 1
robbed 1
role 1
rounds 1
runs 1
safari 3
satirizes 1
scouts 1
second 1
section 1
see 2
servants 1
set 1
shamba 1
she 6
short 1
shots 1
sightseeing 1
simenon 1
six 1
slept 1
smell 1
so 1
softhearted 1
stewards 1
stood 1
stream 1
subjects 1
subsequent 1
such 1
swahili 1
takes 1
tall 1
temporarily 1
that 2
the 42
their 1
themselves 1
then 1
there 1
they 4
thinks 1
this 1
thought 1
time 1
titled 1
to 11
too 2
tour 1
tracking 1
travel 1
treated 1
tribal 1
tribes 2
true 1
trusted 1
two 2
unable 1
understood 1
various 1
very 1
village 2
villagers 1
visit 1
wants 1
warden 2
when 3
where 1
which 1
while 2
white 1
who 2
whom 1
wife 2
with 7
woman 1
woods 1
worried 1
worries 1
would 1
writers 1
writing 1
