2351145
/m/075w7q
/m/075w7q
Kage Baker
1999
123 1
16th 1
17th 1
20th 1
2355 1
24th 3
30000 1
40000 1
a 14
about 1
actual 1
admit 1
adopted 1
after 1
ahead 1
alcohol 1
all 4
alone 1
along 1
also 1
american 1
an 1
and 18
animal 1
anthropologist 1
any 1
are 7
army 1
around 1
artifacts 1
as 1
assembles 1
at 1
available 1
averse 1
babylonian 1
back 2
ball 1
banned 1
bc 1
be 2
become 1
bedding 1
been 1
believes 1
book 1
botanist 2
boys 1
but 5
by 1
california 1
can 1
cannot 1
cant 1
cavorting 1
century 6
ceremonies 1
childish 1
chumash 6
churches 1
clubs 1
come 1
coming 1
company 5
completed 1
consume 1
continues 1
core 1
course 1
cowardly 1
coyote 1
craftsmen 1
culture 1
cyborgs 4
data 1
daughter 1
didnt 1
disgusted 1
do 3
does 1
doubt 1
dream 1
drink 1
earthquake 1
eat 1
either 1
encroaching 1
end 1
england 1
entire 1
equipment 1
era 2
erratic 1
even 1
everybody 1
executive 1
exists 1
facility 1
fast 1
fell 1
festivals 3
feud 1
fills 1
foolish 1
for 7
forest 1
former 1
get 2
gets 3
getting 1
give 1
go 2
god 2
guilds 1
hackles 1
handsomely 1
happens 1
has 3
have 2
he 8
her 3
hiding 1
him 1
his 6
history 1
hollywood 1
however 3
humashup 1
imarte 2
impressed 1
in 11
including 1
information 1
installment 1
into 1
is 12
it 5
job 4
joseph 10
kantap 1
kind 2
know 1
late 1
latest 1
learn 1
left 1
less 1
lifestyle 1
little 1
lives 1
lot 1
make 2
many 2
master 1
may 1
meat 1
mendoza 4
messianic 1
moody 1
more 2
mortal 1
mostly 1
much 1
nagging 1
native 1
nature 1
need 1
needs 2
next 1
nobody 2
nonstandard 1
not 5
notsosmart 1
occasionally 1
of 9
off 1
oily 1
on 1
one 2
operatives 2
or 3
ordinary 1
other 2
others 1
out 3
pays 1
people 1
percentage 1
persuade 1
phobiaridden 1
play 1
point 1
preserve 1
priapic 1
pulls 1
quite 2
reassigned 1
recruiting 1
redwood 1
regrets 1
released 1
religion 2
revolve 1
reward 1
rich 1
role 1
rolling 1
salesmen 1
same 1
samples 1
satisfied 1
saw 1
seem 1
sell 1
she 1
shipped 1
skill 1
sky 1
small 1
snags 1
so 2
soon 1
spain 1
spanish 1
specialists 1
spins 1
start 2
starts 1
stimulants 1
story 1
studio 1
stupid 1
subjects 1
suddenly 1
superb 1
supervise 1
sure 2
surprised 2
take 1
tale 1
talk 1
talking 1
task 1
tend 1
territory 1
that 8
the 39
their 5
there 2
they 7
thing 1
this 4
though 2
throws 1
to 19
too 2
traditions 1
tribe 1
trickster 1
try 1
tudor 1
turn 2
two 1
unfulfilled 1
unhappy 1
up 3
usual 2
valuable 1
village 1
volume 1
wander 1
was 1
way 2
wearing 1
well 2
what 2
which 2
while 1
who 2
whom 1
why 3
will 3
wiped 1
with 6
work 2
worldly 1
