17424156
/m/04crgw8
/m/04crgw8
Theodore Judson
2008
220s 1
2270s 1
2280s 1
a 9
advanced 1
africa 1
against 1
aidedecamp 1
also 1
alternates 1
although 1
america 2
amsterdam 1
an 3
anatolia 1
and 24
anthony 1
are 5
as 10
assiduously 1
attempt 1
aurelius 1
avoids 1
back 1
background 1
barracks 1
based 1
battle 1
become 2
becomes 2
been 1
beginning 1
begins 1
behavior 1
between 2
bis 1
black 8
boers 1
borrows 1
but 3
by 4
capital 1
career 3
case 1
causes 1
center 1
centuries 1
century 3
children 1
china 1
chronicling 1
classical 1
colonies 1
commodus 1
conflict 1
corrode 1
corruption 1
crisis 1
crumbles 1
cult 1
cults 1
cybernetic 1
daughter 2
declare 1
degenerating 1
descended 1
described 1
disillusioned 1
dominated 1
during 3
earth 2
eighteenth 1
el 1
emperor 2
emperors 2
empire 4
enemies 2
enjoyed 1
ensues 1
erratic 1
etc 1
ethnic 1
evolved 1
excesses 1
execution 1
explain 1
expressly 1
extraplanetary 1
fail 1
family 1
father 1
fighting 1
fights 1
financial 1
fitzpatrick 2
force 1
forth 1
four 1
from 2
general 6
glistening 1
goddess 1
governor 1
has 3
have 1
he 1
health 1
heavily 1
hemisphere 1
her 1
him 1
his 10
history 1
how 1
imperial 3
implants 1
implicitly 1
in 10
including 3
increasingly 1
infected 1
infects 1
into 2
invasion 1
is 11
it 1
judson 1
jupiter 1
justa 4
kills 1
large 1
largely 2
late 1
leads 1
little 1
longer 1
luke 4
made 2
madness 1
major 1
makes 1
many 1
marcus 1
marilyn 1
marries 1
mars 3
martian 1
maryland 1
mathias 2
metal 1
metaleating 1
monolatric 1
moot 1
more 2
much 1
multiparty 1
murdered 1
myriad 1
nanoengineered 1
nanoplague 3
near 1
never 1
no 1
nomadic 1
northern 1
novel 1
number 1
of 21
old 1
on 4
one 2
our 1
over 1
panpolarian 3
parties 1
perceived 1
periodically 1
perishes 1
persia 1
personally 1
perversion 1
philosopheremperor 1
place 1
plague 1
political 1
politics 1
polytheistic 1
power 1
preindustrial 1
previous 1
primary 1
prominence 1
prosperous 1
provide 1
provides 1
quickly 1
recalled 1
references 1
regained 1
regime 1
regional 1
reign 1
relates 1
released 1
religions 2
reminiscent 1
renders 1
replaced 1
resembling 1
result 2
rivals 2
roman 1
rome 1
seize 1
seizes 1
services 1
set 1
setting 2
settle 1
seventeenth 1
sexual 1
shape 1
shortreigned 1
society 1
sociopathic 1
son 2
south 1
state 2
stated 1
states 2
stationed 1
story 1
struggle 2
succeeded 1
successor 2
suffer 1
support 1
takes 1
technology 3
that 2
the 40
them 1
third 1
this 3
though 1
throne 1
time 3
to 10
troops 1
twentythird 2
ultimately 2
under 1
united 1
unlike 1
useless 1
variety 1
various 2
victorious 1
war 2
warring 1
well 1
when 2
where 1
which 6
who 2
whose 1
will 1
with 3
witnessing 1
work 1
world 2
year 1
