6725330
/m/0gkrm1
/m/0gkrm1
Rex Stout

200 1
5000 1
a 49
able 1
about 2
accessory 1
accustomed 1
acquaintance 1
act 1
activities 1
actual 1
actually 1
adds 1
advantage 1
advertisement 1
aegis 1
after 8
against 2
agrees 2
ajar 1
alive 1
all 1
allowance 1
allowed 1
along 2
also 1
although 1
am 1
amuses 1
an 14
and 58
annabel 1
announces 1
annoyed 1
answer 2
answers 1
any 1
anything 2
apparent 1
apparently 2
appearance 1
archer 4
archie 60
are 5
arnold 3
around 1
arranged 1
arrangements 1
arranges 1
arrested 1
arrival 1
arrives 2
as 9
assemblyman 1
assist 1
at 7
attorney 2
authenticate 1
authorities 1
available 1
b 1
back 3
bails 1
banker 1
barry 4
be 6
became 1
because 2
becoming 1
been 6
before 2
behave 1
being 2
beneficiary 1
biggest 1
bloodbath 1
bloodshot 1
both 3
breeds 1
brief 1
brought 1
brownstone 4
bunker 1
business 1
but 10
butt 1
buys 1
by 6
call 1
calls 1
calvin 1
came 1
can 2
canister 1
cant 5
car 2
carton 3
case 1
cases 2
cash 1
cashier 1
cat 1
catching 1
cather 1
cellmate 1
certain 1
chance 1
character 1
charged 1
chat 1
chauffered 1
check 1
christy 14
churchill 1
clarify 1
clever 1
client 1
closer 1
closes 1
clothes 1
comes 1
commit 1
conceal 1
coney 1
confer 1
confirm 1
confirms 1
confusion 1
connections 1
considerable 1
contain 2
contained 1
continues 1
conversation 1
convict 1
cooperation 1
corner 1
could 2
country 1
course 1
cousin 2
cover 1
crime 2
criminal 3
crossed 1
curiosity 1
cut 1
da 2
daily 1
dana 1
dangerous 1
dare 1
darrow 4
daughterinlaw 1
day 3
days 2
dealing 1
death 3
decides 1
degree 1
delivered 1
demands 1
dependent 1
description 1
detective 1
deteriorated 1
determined 1
develop 1
developed 1
dinner 3
dip 1
dipping 1
direction 1
dirty 1
disappearance 1
disappeared 1
discharges 1
discussing 1
district 1
do 1
doberman 1
dobermans 1
does 2
doesnt 2
dog 1
doing 1
door 1
dough 1
down 2
drawn 1
drinking 1
drive 1
driver 1
due 1
during 2
durkin 1
earlier 2
early 1
effect 1
either 1
employed 1
employee 1
engage 1
enough 2
ensure 1
escalating 1
escorted 1
establish 1
establishment 1
estate 2
evening 1
events 2
ever 1
evidence 2
example 1
expected 1
expense 1
expenses 1
experience 1
expert 1
explains 1
explosive 1
eye 1
eyes 1
fact 1
family 1
fast 1
few 1
figured 2
finally 1
finding 1
finds 2
fine 1
first 2
flirting 1
flowed 1
followed 2
for 24
fortified 1
found 1
four 1
frantic 1
fred 2
frey 1
friend 1
frightened 1
fritz 2
from 8
front 1
further 4
gas 2
gathered 1
gazette 1
get 1
gets 3
getting 4
gigolo 1
gives 1
glass 1
go 1
goes 1
gone 1
good 3
got 1
guesses 1
guests 1
guided 1
guilt 1
gun 1
had 4
hammond 1
hangs 1
has 23
hasnt 1
have 6
having 1
he 51
heads 1
heavily 1
heiress 1
hell 2
help 1
her 11
hers 1
herself 1
hewitt 1
him 17
himself 4
hint 1
hire 1
his 23
home 1
hotel 1
hour 1
hours 2
house 1
how 1
husband 3
if 6
implies 1
imprecise 1
in 21
inarguably 1
including 2
income 3
independent 1
informant 1
information 5
initially 1
instructions 2
instructs 1
insulates 1
intelligence 1
interactions 1
interest 1
interesting 1
intimate 1
intimidating 1
into 6
investigate 1
investigations 1
investigator 1
is 31
island 2
it 16
jailed 2
job 5
joins 1
just 5
kennels 1
know 3
knows 1
last 1
later 1
lawyer 1
lay 1
layers 1
learn 1
learned 2
leave 1
leaving 1
leeds 3
left 1
less 1
lets 1
lewis 1
life 1
light 1
like 2
likely 1
lily 1
lina 3
list 1
livelihood 1
living 2
local 1
location 1
log 1
long 1
look 1
looks 1
loses 1
lucky 1
lying 1
makes 3
man 4
manhattan 5
marko 5
married 1
marry 1
material 2
max 2
means 3
meet 5
meeting 4
meets 1
members 1
men 2
mentioned 1
merely 1
message 1
met 1
might 4
miss 1
mixed 1
money 2
month 1
months 1
more 3
morning 2
motive 1
moved 1
mr 2
mrs 13
much 4
murder 1
murdered 2
murdering 1
muscles 1
muster 1
named 2
nathaniel 1
near 1
needs 3
neither 1
new 4
next 4
night 3
no 2
nor 1
norway 1
not 7
note 1
now 5
number 1
nursery 1
oblique 1
of 30
off 3
offer 3
offered 1
offers 1
office 1
officials 1
oldest 1
oliver 1
on 9
one 3
ongoing 1
open 1
opened 1
operation 2
operatives 1
opportunity 1
optional 1
or 1
orchids 1
order 2
organization 3
organized 2
orrie 2
ostensibly 1
other 2
out 7
over 2
panzer 1
parker 1
participate 1
pass 2
payment 1
people 1
performing 1
period 1
pet 1
pete 1
phone 2
phoned 1
phones 2
phoning 1
picks 1
pierce 1
placing 1
plains 2
pointedly 2
points 3
poisoning 1
police 1
possibly 1
potential 1
power 1
prepare 1
present 1
pressure 1
previously 1
private 2
professional 1
property 1
provide 1
provided 1
publicity 1
purpose 1
questioning 1
questions 1
quit 1
quotidian 1
rackham 55
rackhams 1
raid 1
ready 1
real 1
reason 1
reasons 1
recalled 1
recent 1
recently 1
reciprocate 1
recruit 1
refused 1
regards 1
relationship 2
released 1
relieved 1
reluctantly 1
report 3
reports 1
requirement 1
requires 1
resembles 1
resist 1
retirement 1
returned 1
returns 2
river 1
roeder 19
room 2
rope 1
rowan 1
rusterman 1
sale 1
sarah 1
saul 2
sausage 1
say 1
says 1
scheme 1
secretary 1
see 4
seems 1
sees 1
set 1
sets 1
several 2
shave 1
she 6
shop 1
shortly 1
should 1
show 1
shows 1
since 2
six 1
size 1
skin 1
small 1
smugly 1
so 5
social 1
some 7
somehow 1
someone 1
soon 1
sounds 2
source 3
speak 1
specific 1
specifically 1
spend 2
splotchy 1
spoke 1
stabbed 1
staff 1
standing 1
state 1
still 3
stolen 1
stop 1
story 1
stranger 1
stress 1
subordinates 1
such 1
suggests 1
suite 2
summarize 1
summoned 1
sums 1
supervising 1
suppressing 1
sure 1
syndicate 2
tacitly 1
tail 1
tailed 1
tailing 4
take 3
takes 3
taxes 1
tear 2
television 1
tell 1
telling 1
tells 7
temper 1
than 3
that 44
the 53
them 2
then 7
theodore 1
there 4
thereafter 1
they 2
thinks 1
this 3
thought 1
three 1
through 1
throws 1
till 1
time 1
to 74
told 4
too 1
took 1
top 1
touches 1
travel 1
tries 1
truthfully 1
try 1
trying 1
turn 3
turned 1
turns 3
twitch 1
two 1
under 1
unknown 1
unnamed 1
unsavory 1
up 8
upon 1
urges 2
vacationing 1
verifies 1
version 1
very 2
visits 1
vukcic 1
waiting 1
wall 1
want 1
wants 10
was 6
washington 1
watching 1
way 2
wealthy 2
week 1
weeks 1
well 2
welltodo 1
were 1
westchester 4
what 2
when 11
where 2
which 3
while 1
whisky 1
white 2
who 6
whose 3
why 1
widowed 1
widower 1
wife 6
wild 1
will 5
with 24
withdraw 1
without 1
witness 2
wolfe 28
wonders 1
wont 2
woods 1
word 2
work 4
workers 1
working 1
works 1
worried 2
would 5
years 2
yet 1
york 1
zeck 25
