224524
/m/01gq5x
/m/01gq5x
Anthony Trollope

a 33
absurd 1
accustomed 1
acquaintance 1
acquainted 1
actions 1
addition 1
adept 1
again 1
all 1
allowance 1
also 1
ambitions 1
an 2
and 22
appointed 1
are 1
argues 1
arrives 1
as 6
asking 1
at 9
attempt 1
august 1
awkward 1
banker 1
barrington 1
be 4
beautiful 1
become 4
becomes 6
being 2
between 4
bill 1
blankenberg 1
boot 1
borough 2
both 1
brentford 5
brother 3
but 4
by 3
called 1
can 1
cannot 1
career 2
chance 1
chancellor 1
charming 1
cheaply 1
childhood 1
chiltern 5
choose 2
chooses 1
clare 1
clash 1
clears 1
clever 1
closest 1
colleague 1
comfortable 1
coming 1
company 1
conclusion 1
considerations 1
considers 1
consolation 1
contested 1
continent 1
controls 1
convictions 1
convince 1
convincing 1
cork 1
county 1
courting 1
daughter 1
decides 1
delivers 1
demands 1
depart 1
desperately 1
despite 2
devastated 1
development 1
develops 1
difficulty 1
dilemma 1
disapproves 1
dismay 1
doctor 1
does 1
dour 1
dr 1
dublin 1
duchy 1
duel 2
during 1
effingham 1
election 3
elections 1
enamoured 1
encourages 1
end 1
erle 1
estranged 1
even 1
eventually 3
exacerbates 1
excels 1
extremely 1
faithful 1
falling 1
farmers 1
fast 1
father 4
favour 1
favours 1
fearfully 1
feat 1
feelings 1
fellow 1
finally 2
financial 1
finds 2
finn 27
first 2
flees 1
flood 1
foil 1
follow 1
for 10
force 1
foreigner 1
forgone 1
fortune 1
friends 3
from 3
funds 1
garrotte 1
gets 1
go 1
goesler 1
government 4
gratitude 1
great 2
greatly 1
growing 1
grows 1
gulf 1
had 1
hamper 1
hand 2
handsome 1
happens 1
hard 1
has 5
he 13
heiress 1
held 1
her 17
heroic 1
him 6
his 23
hopefully 1
house 1
household 1
however 3
husband 2
idea 1
if 1
in 17
incoherent 1
increased 1
influence 1
influential 1
infuriated 1
insists 1
inspector 1
instead 1
intense 1
interest 1
ireland 2
irish 2
irishman 1
is 13
it 2
jewish 1
jones 1
joshua 1
kennedy 6
killaloe 1
lackadaisical 1
lady 6
lancaster 1
late 1
latter 1
laura 6
law 1
lawyer 1
leading 1
learns 1
legal 1
life 1
little 1
london 2
longtime 2
lord 10
loughton 1
lovely 1
loyalty 1
luck 1
madame 2
maiden 1
main 1
makes 3
malachi 1
man 1
many 1
margin 1
marriage 2
marry 3
mary 1
materially 1
max 2
meantime 1
meanwhile 1
meeting 1
member 1
men 1
mentor 1
modest 1
monetary 1
monk 1
monks 1
more 2
moreover 1
move 1
mr 5
must 1
needed 1
neither 1
new 2
next 2
night 1
no 1
nobleman 2
not 3
notices 1
novel 1
now 1
obtains 1
of 22
off 1
offers 2
officeholder 1
on 1
once 1
one 3
only 1
out 2
overawed 1
own 1
parliament 3
parliamentary 2
partiality 1
parting 1
party 1
path 1
patients 1
pleasant 1
pocket 1
point 1
political 4
politician 3
politics 2
poorlaw 1
position 2
pounds 1
presented 1
proceedings 1
prominent 1
proves 2
provide 1
push 1
radical 1
radicalised 1
reconciled 1
recovers 1
reelection 1
refuses 1
relationship 1
resigns 1
result 1
resulting 1
retires 1
return 1
returns 1
reward 1
rich 1
rift 1
rights 1
rob 1
robert 1
rocky 1
sailing 1
salary 1
same 1
savage 1
saving 1
sceptical 1
seat 2
secret 1
secure 1
seeks 1
seems 2
sends 1
senses 1
separate 1
session 1
shambles 1
she 5
shortcut 1
should 1
sinecure 1
situation 2
slightly 1
small 1
smooth 1
so 1
social 1
solely 1
somewhat 2
son 3
soninlaw 1
soon 1
speech 1
stand 1
standish 1
start 1
staunchly 1
strikingly 1
stroke 1
student 1
successful 1
suggests 1
suitors 1
support 4
supported 1
supporter 1
suppressing 1
surroundings 1
suspicious 2
sweetheart 2
takes 1
tame 1
temperaments 1
tempted 1
tenant 1
tenantright 1
that 5
the 38
their 3
them 2
therefore 1
they 1
this 5
thousand 1
time 2
to 25
tory 1
true 1
tulla 3
two 2
uncomfortable 1
under 1
unexpected 1
unhappy 1
unreasonably 1
vehemently 1
violet 3
visits 1
want 1
ways 1
wealth 1
wealthy 1
wellpaid 1
westminster 1
when 5
where 1
which 3
whig 2
while 1
who 3
widow 1
wife 1
will 2
wins 1
with 7
withdraw 1
withdraws 1
work 1
wounded 1
year 1
young 1
