1808515
/m/05yltr
/m/05yltr
Kenji Miyazawa

a 18
about 1
absentminded 1
actually 1
after 4
afterlife 1
all 2
along 1
already 1
always 1
an 4
and 16
angers 1
another 2
answer 2
any 1
apart 1
approaches 1
aquila 1
are 3
arrested 1
arrives 1
as 3
asked 1
asks 5
at 6
attend 1
away 1
back 4
be 1
because 5
been 2
before 1
begin 1
behind 2
being 1
bell 1
board 1
boat 1
both 1
boy 1
brought 1
bully 1
but 5
by 2
called 1
campanella 13
can 2
candies 1
cannot 1
care 1
cares 1
catches 1
chat 1
children 1
chores 1
claiming 1
claims 1
class 4
classmates 1
coalsack 1
coat 1
come 3
comes 1
contracted 1
crashed 1
cross 2
crystal 1
day 1
dead 1
deliver 1
did 1
didnt 1
disappears 1
disease 1
do 1
does 2
down 1
drowning 1
duration 1
during 1
encouraging 1
end 1
even 1
everyone 1
example 1
excavating 1
expedition 1
expeditions 1
family 1
fantastic 1
far 1
father 6
fear 1
feed 1
fell 1
festival 4
finds 2
first 1
flashback 1
for 5
forever 1
formal 1
fossil 1
fossils 1
free 1
friend 1
friends 1
from 9
fun 1
funeral 1
fur 1
get 2
gets 1
giovanni 28
give 2
go 2
good 1
had 1
hard 2
has 6
have 1
he 16
heads 4
hears 1
herons 1
hill 2
him 5
himself 1
his 16
home 3
however 1
iceberg 1
if 1
illegal 1
in 6
intentionally 1
into 4
is 11
it 1
its 1
kindly 1
knows 2
large 1
leave 1
leaving 3
lets 1
lies 1
life 1
likely 1
local 2
lonely 1
long 2
luckily 1
make 1
makes 2
man 1
marking 1
marks 1
marvel 1
matter 1
meaning 1
meet 1
milk 1
milky 2
missing 1
mocking 1
more 1
mother 4
never 2
night 3
no 2
north 1
northern 1
not 5
notice 1
notices 1
occurring 1
of 15
off 1
on 8
one 1
only 2
other 2
otherwise 1
otter 1
out 1
outcast 1
over 1
paper 1
passengers 2
path 1
peers 2
people 1
poor 1
possibly 1
promise 1
promises 1
prove 1
punch 1
question 1
really 1
reasons 1
repeatedly 1
responds 1
ridicule 1
ridiculed 1
rings 1
river 2
runs 2
sands 1
save 1
saved 1
says 2
scholars 1
school 2
science 1
see 1
seems 1
seen 1
ship 1
shows 1
sick 1
sights 1
since 1
sister 2
so 1
social 1
somewhat 1
sound 1
southern 1
star 1
stars 2
stay 2
stays 1
stops 1
story 1
strange 1
strong 2
students 1
suggesting 1
suggests 1
supposedly 1
sure 1
take 1
teacher 6
tears 1
that 14
the 45
their 1
them 1
then 3
they 2
this 2
though 1
through 1
throughout 2
time 2
tired 1
titanic 1
to 20
together 2
tomorrow 1
top 2
toward 1
town 1
train 9
transporting 1
travels 1
tries 1
trip 1
true 1
two 1
under 1
unknown 1
unnamed 1
up 2
various 1
verge 1
wakes 1
was 3
water 2
way 3
went 1
were 1
wet 1
what 2
when 1
where 1
which 2
white 1
who 6
whom 1
why 1
will 1
with 1
work 2
working 1
worried 1
worries 1
would 1
yet 2
zanelli 5
