3369281
/m/09818r
/m/09818r
Bernard Cornwell
2001-04-23
{"/m/0hwxm": "Historical novel"}
1807 1
a 3
an 3
and 3
army 2
at 2
away 1
back 1
bombardment 1
british 1
brutal 1
but 1
by 1
capital 1
capture 1
career 1
city 1
contemplate 1
copenhagen 1
could 1
danish 2
defeat 1
denmark 1
destitute 1
end 2
england 1
enhancement 1
errand 1
fearing 1
fleet 1
france 1
french 1
friend 1
from 1
him 1
his 1
in 3
invasion 2
invites 1
is 8
its 1
itself 1
job 1
life 1
london 1
lost 1
love 1
merciless 1
mission 1
napoleon 1
neutral 1
new 1
of 3
officially 1
old 1
on 1
only 1
order 1
own 1
power 1
powerful 1
preemptive 1
quartermaster 1
quite 1
relegated 1
replace 1
richard 1
safe 1
secret 1
seemed 1
sharpe 3
ships 1
simple 1
so 1
streets 1
subjected 1
such 1
that 1
the 10
their 1
then 1
thought 1
threaten 1
threatening 1
to 6
trafalgar 1
trapped 1
treachery 1
trying 1
undertake 1
unexpectedly 1
when 1
where 1
which 2
whose 1
will 1
without 1
year 1
