19355199
/m/04n4pt5
/m/04n4pt5
David Leavitt
1989
a 4
affair 1
aging 1
all 1
although 1
an 3
and 4
another 1
april 3
at 2
avoid 1
brother 1
california 1
cancer 1
catholicism 1
cheating 1
coming 1
conversion 1
cottage 1
cyber 1
danny 3
death 1
down 1
ends 1
farewell 1
father 1
fighting 1
final 1
fly 1
funeral 1
has 1
having 1
her 4
his 2
husband 1
in 1
invite 1
is 5
island 1
jersey 1
jew 1
later 1
live 1
long 1
looming 1
louise 3
lukewarm 1
meanwhile 1
men 1
mistress 1
months 1
mother 2
nat 5
new 1
of 1
on 2
other 1
over 1
parents 1
part 1
partner 1
party 1
phone 1
prolepsis 1
publicly 1
rented 1
seeing 1
sex 2
she 1
sister 1
son 1
stay 1
suburban 1
the 1
their 2
them 1
they 1
throws 1
to 4
two 1
up 1
visits 1
walter 2
where 1
with 6
woman 2
