473297
/m/02dr_n
/m/02dr_n
Nevil Shute
1948-12
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
30 1
40 1
a 26
abandoned 1
about 2
account 1
addition 1
adjacent 1
admires 1
advice 1
affection 2
after 1
air 1
aircraft 8
airframes 1
airliner 1
airport 1
alarm 1
alarming 1
all 1
allows 1
alloy 1
along 1
already 1
also 1
aluminium 1
ambassador 3
an 2
and 31
antihero 1
anxious 1
any 2
anyone 1
appearance 2
approached 1
are 5
arises 1
as 4
aspect 1
assassinate 1
at 3
atlantic 2
authorities 1
automatic 1
aviation 1
away 1
back 1
badly 1
be 3
bear 4
bears 1
because 1
becomes 2
been 1
before 3
begin 1
beshe 1
betrays 1
board 1
body 1
bring 1
but 5
by 12
came 1
canada 2
canadian 1
cannot 1
captain 1
care 1
carry 1
carrying 2
cato 1
childhood 1
children 1
circlesto 1
classic 1
cleaning 1
clearly 1
close 2
cockpit 1
comes 1
commercial 1
concern 1
conclusion 1
confides 1
contacts 1
corder 6
could 2
course 1
crash 7
crashed 2
crew 1
crossing 1
crystalline 1
current 1
customarily 1
daily 1
damaged 1
dancing 1
daughter 2
debris 1
declare 1
delayed 1
dennis 1
design 2
desperation 1
despite 1
director 3
disables 1
discovers 2
discussion 1
displays 1
dr 2
due 1
duration 1
during 3
early 1
elspeth 7
engaged 1
engaging 1
ensuring 1
error 1
esoteric 2
estimate 1
even 1
event 1
events 3
examine 1
examined 1
exchange 1
experienced 1
fail 2
failed 1
failure 2
farnborough 2
farnham 1
fatigue 5
feels 1
feminine 1
fictional 3
films 1
find 2
finds 1
first 2
flight 2
flying 2
focused 1
followed 1
follows 1
foot 1
for 10
found 1
fracture 2
from 2
front 2
gander 2
give 2
go 1
goes 1
good 1
had 2
happiness 1
has 5
have 2
he 13
heated 2
help 1
her 6
hero 1
heroines 1
high 1
highly 1
him 5
his 14
hobbies 1
home 2
honey 21
hope 1
hours 2
hundreds 1
if 1
illconfirming 1
impresses 2
in 23
including 1
inconclusive 1
increasingly 1
indifferent 1
information 1
inquiry 1
intelligence 1
intensely 1
interests 1
international 1
interpretations 1
into 1
investigate 1
is 20
it 7
its 3
itself 1
judge 1
just 1
knew 1
know 1
lake 1
left 1
letter 1
life 1
lifeand 1
light 1
links 1
long 1
loss 1
lost 2
magnitude 1
makes 1
manages 1
manufacturers 1
marry 1
mechanics 1
meets 1
merely 2
message 4
metal 2
miles 1
minor 1
misgivings 1
missing 1
mix 1
more 2
must 3
narrated 1
near 1
neglected 1
new 1
no 2
north 1
northeastern 1
not 1
notwithstanding 1
novel 1
nurses 1
obvious 1
occurred 1
of 37
offering 1
official 1
on 8
only 1
operator 1
or 3
organisation 1
other 1
out 2
outlook 1
outside 2
over 1
overseen 1
own 1
part 1
parts 1
party 2
passed 1
passengers 1
path 1
people 1
person 1
persuade 1
persuasive 1
photographs 1
physically 1
pilot 2
place 1
planchette 1
plausibly 1
plot 1
points 1
possible 3
precocity 1
predicted 3
prediction 1
predicts 1
problem 1
project 1
prophecy 1
proving 1
pure 1
puts 1
pyramidology 1
pyramids 1
quantum 1
quebec 1
rae 1
raising 1
rapidly 1
ratio 1
reached 1
reaching 1
realises 1
realizes 1
recalled 1
recent 1
recently 1
recover 1
redesign 1
refer 2
refuses 2
reindeer 7
reindeers 2
rejected 1
related 1
relates 1
relations 1
remains 3
removed 1
report 1
rescue 1
research 1
resignation 1
result 1
retrieve 1
returns 1
reveals 1
root 3
roots 1
runway 1
rutland 1
sabotage 1
safest 1
safety 1
samuelson 2
sceptical 1
science 1
scorn 1
scott 12
second 1
seems 1
send 1
sent 1
separated 1
serious 2
service 3
shabby 1
she 2
shirley 1
shock 1
simple 1
sincere 1
site 1
so 1
some 2
soviet 4
spar 1
spare 1
spiritualism 1
standards 1
standing 1
state 1
stopover 1
story 3
structure 1
study 1
such 1
supervision 1
supposedly 1
suspect 1
sustain 1
tailplane 8
teasdale 4
tells 1
tempered 1
test 1
than 1
that 15
the 83
their 4
them 1
theodore 1
theory 3
there 2
they 2
things 1
this 3
those 1
thought 1
throughout 1
time 2
timely 1
to 32
total 1
touching 1
trance 1
transport 1
travelling 1
trip 1
trouble 1
twice 1
two 1
unconventional 1
under 1
undercarriage 1
unfit 1
unhelpful 1
unimpressive 1
union 1
unorthodox 1
unreliable 1
up 1
using 2
value 1
varied 1
vindicates 1
visits 1
warning 1
was 1
water 1
way 1
when 3
where 1
which 5
while 2
who 3
wholly 1
whose 1
widower 1
wilderness 1
will 1
with 7
withsuffer 1
woman 1
woods 1
work 5
worldnever 1
writing 1
written 1
young 1
