21000359
/m/05b39wm
/m/05b39wm
Sergey Lukyanenko

a 23
about 1
access 1
accidentally 1
administration 1
administrators 1
after 7
agree 1
air 1
airstrip 1
all 3
almost 1
along 2
also 1
although 1
among 1
amsterdam 1
an 5
analogous 1
ancient 1
and 38
another 1
antichrist 1
antoine 4
any 1
anyone 1
apparently 1
aquincum 4
archive 2
are 7
army 1
arnold 5
arrest 1
arrive 1
arrives 2
as 15
asks 1
at 7
attempt 2
attempts 1
audience 1
away 1
baron 1
bastard 1
be 2
been 1
before 3
behind 1
believes 2
belongs 1
between 1
bishop 3
blocked 1
blood 1
boarding 1
book 8
both 3
boy 4
brother 2
brought 1
but 8
by 11
can 1
capture 3
captured 2
carrying 1
catch 1
caught 1
chance 1
chase 1
children 1
church 8
city 3
claims 1
clerics 1
cold 3
colony 1
come 1
comes 1
companions 1
conclusion 1
condition 1
conflict 1
contains 1
convince 1
convinces 1
cordoned 1
cost 1
counsel 1
count 1
court 1
crashes 1
cures 1
dagger 1
decide 3
delay 1
demand 1
departs 1
departure 1
despite 1
destination 1
detain 1
disappeared 1
disciples 1
discovered 1
discovers 2
discussing 1
do 1
does 3
done 1
dungeon 1
during 1
each 3
elite 2
empire 1
encounter 1
encounters 1
ensuing 1
entire 1
escape 5
escaped 2
escapees 6
escorted 1
eventually 1
ever 2
everything 2
exactly 1
executed 1
explain 1
explains 2
extradite 1
extremely 1
fahrid 1
fear 1
female 1
field 1
fight 1
figure 1
figures 1
finally 2
find 6
finds 2
fly 1
fond 1
for 11
force 1
forces 2
former 1
found 1
four 1
from 2
full 1
further 1
gerard 3
get 3
give 1
giving 1
glider 2
gliders 1
go 1
god 1
going 1
government 1
grants 1
greatest 1
grey 2
guard 1
guards 1
had 2
happening 2
has 9
have 1
having 1
he 19
head 2
headed 1
heads 1
helen 11
help 3
helpless 1
helps 2
her 1
hid 1
hide 2
hiding 1
highlybureaucratic 1
hill 1
him 7
his 10
holy 1
house 3
however 7
idea 1
if 1
ilmar 28
immediate 1
immediately 1
in 12
including 2
information 1
informed 1
initially 1
intercepted 1
interest 2
interrogates 1
into 6
investigation 1
investigative 1
iron 1
is 30
island 3
isles 2
it 7
its 1
jean 4
jhns 3
joins 1
judea 3
junior 1
just 1
keeps 1
khanate 4
kill 3
know 2
knowing 1
knowledge 1
knows 1
komarov 2
lady 1
land 1
landing 1
last 2
later 1
learning 1
leave 2
leaving 1
legion 1
lets 1
life 1
lightbringer 1
local 1
locate 1
louisa 3
lyon 1
magyar 1
mainland 1
make 1
makes 1
manage 1
manages 5
marcus 24
mark 10
measures 1
meet 5
meets 1
megiddo 1
memories 1
mine 1
mines 1
mistake 1
moment 1
monastery 2
more 1
mother 1
motion 1
much 2
name 1
named 3
nation 1
nearly 1
next 2
ngociant 1
no 1
noble 1
not 3
nun 1
of 39
off 2
officer 2
official 1
old 1
on 6
one 2
only 3
onto 1
or 1
ordered 1
orders 1
other 4
others 1
ottoman 1
ottomans 1
out 6
overthetop 1
own 2
pairs 1
paladin 2
paladins 1
party 1
penal 1
performs 2
peter 1
placed 1
plan 1
point 1
pope 1
possessor 1
possibly 1
posters 1
potential 1
praetorian 1
pretty 1
prince 1
prison 1
prophesied 1
pulling 1
pursuers 1
puts 1
putting 1
quest 1
radical 1
reach 1
reached 1
real 1
reality 1
realize 1
realizes 1
realizing 1
really 2
reason 2
recognizes 2
recover 1
recovery 2
redeemer 5
refuses 1
regiment 2
renowned 1
rescuing 1
rest 1
restricted 1
return 2
returned 1
reveals 1
revolver 1
rome 1
run 1
russian 2
same 1
search 3
searching 1
secretly 1
seeking 1
semetskiy 2
send 1
sends 2
sent 3
sentenced 1
separate 1
serious 1
sex 1
she 3
ship 2
shortly 2
should 1
simply 1
sins 1
sister 5
situation 1
slick 1
slip 1
sneak 1
so 2
some 2
soon 2
sorrow 2
spare 1
split 1
spy 1
stagecoach 1
state 7
statement 1
stay 1
stays 1
stole 1
stored 1
strip 1
superior 1
surrounds 1
survival 1
takes 1
teenager 1
tel 1
tempter 1
than 1
that 14
the 117
their 7
them 6
then 2
there 5
they 20
thief 4
things 1
this 5
thousand 2
throats 1
thrown 1
time 2
title 2
to 51
together 2
told 1
top 2
touching 1
traveler 1
treasures 1
trio 1
true 7
try 1
tunnels 1
two 4
unable 1
underground 1
unfortunately 1
up 3
urbis 2
use 2
using 1
valuable 3
value 3
vests 2
wanted 1
wants 2
warrant 1
warship 1
was 3
way 2
weapons 1
what 3
when 1
where 1
which 4
while 3
who 7
whose 2
why 2
wielder 1
will 3
wish 1
with 9
without 1
witness 1
wonder 3
word 5
work 1
world 1
worse 1
would 1
written 1
years 2
