4171519
/m/0bm_rr
/m/0bm_rr
Samuel Beckett
1938
{"/m/02xlf": "Fiction"}
116 1
a 13
absence 1
achieve 1
admirer 1
advice 1
after 1
afterwards 1
against 1
alcohol 1
all 1
also 2
alternative 1
amidst 1
among 3
an 5
and 15
anthropoid 1
appealing 1
arch 1
are 2
arnold 1
artistic 1
as 7
ashes 1
assaults 1
assistance 1
astrologer 1
at 3
attachment 1
austin 2
author 1
banned 1
bar 1
beauty 1
beckett 5
bedroom 1
begins 1
belgian 1
between 1
biddable 1
bliss 1
but 1
buttocks 2
by 4
cannot 2
care 1
catatonic 1
caustically 1
cchulainn 1
celia 3
censor 1
censors 1
chess 2
chosen 1
civilised 1
clarke 2
comedy 1
comically 1
commentary 1
commit 1
compatible 1
complete 1
conscious 1
consulted 1
contains 1
converts 1
cooper 1
counihan 4
country 1
cyclical 1
debate 1
declined 1
declines 1
descartes 1
described 1
dialogue 1
did 1
dies 1
dipsomaniac 1
discovers 1
does 1
dublin 1
each 1
earlier 1
eastern 1
eccentrics 1
end 1
endon 1
england 1
english 1
entire 1
eponymous 1
establishment 1
example 1
exceptionally 1
existence 1
expense 1
explains 1
fact 1
famous 1
fascination 1
filthy 2
find 1
finds 1
fixer 1
follows 1
fool 1
for 3
free 2
freedom 1
friend 1
from 1
full 1
gaga 1
game 2
gas 1
general 1
genustuprations 1
geulincx 1
girl 1
given 1
go 1
godot 1
gogarty 1
gone 1
grandfather 1
grime 1
ground 1
had 1
he 4
health 1
her 2
hero 1
himself 2
his 8
hospital 2
hotel 1
immolating 1
in 13
indeed 2
influence 1
insane 1
insanity 1
instead 1
institution 1
into 1
ireland 1
irish 4
is 13
job 1
john 1
joins 1
just 1
kelly 1
kicks 1
knee 1
lack 1
later 2
lest 1
little 1
littleknown 1
lodgings 1
london 2
loses 1
love 2
lover 1
magdalen 1
male 1
many 1
master 1
mate 1
mental 1
mercyseat 1
metaphorical 1
mindbody 1
miss 4
mocked 1
money 1
more 1
most 1
motivations 2
moving 1
mr 1
murphy 13
mysticism 1
mythic 1
near 1
neary 3
no 1
nonexistence 1
north 1
not 1
notation 1
nothingness 2
novel 3
nurse 1
occasion 1
occasionalist 1
occur 1
of 19
office 1
oftenconflicting 1
oliver 2
on 1
opponent 1
other 1
others 1
own 2
passage 1
patient 1
patients 1
perhaps 1
phrase 1
place 1
play 1
plays 1
plot 1
poet 1
portrait 1
possesses 1
possibilities 1
post 1
practitioner 1
pricks 1
profession 1
properly 1
prostitute 1
pursued 1
quite 1
ragtag 1
recently 1
relates 1
replicate 1
resigns 1
rising 1
rival 1
romantic 1
roundly 1
sardonically 1
satirical 1
scabrous 1
seamlessly 1
seedy 1
seeks 1
servant 1
serve 1
she 1
sheppard 1
shortly 1
should 1
simpleton 1
site 1
sitting 1
solipsist 1
soul 1
spinoza 1
spread 1
st 1
state 3
statue 2
strongest 1
sue 1
symmetrical 1
synecdoche 1
table 1
tactfully 1
terror 1
than 1
that 2
the 34
their 2
then 2
things 1
thinkers 1
this 2
throughout 1
ticklepenny 1
to 13
took 1
trail 1
troupe 1
turns 1
unable 1
under 1
unreciprocated 1
urged 1
waiting 1
was 1
what 1
when 1
where 1
which 1
who 3
whose 1
will 1
with 7
work 2
world 1
writes 1
wylie 2
wynn 1
