5360089
/m/0dhb6q
/m/0dhb6q
Paul Leonard


a 3
again 2
all 1
and 3
anji 1
are 1
at 1
be 1
begin 1
begins 1
billions 1
book 1
climax 1
company 2
destruction 1
discover 1
doctor 2
end 1
events 1
fitz 1
for 2
from 1
good 1
happening 1
has 1
he 1
holidays 1
however 1
in 3
inc 1
interfering 1
is 2
machine 1
man 1
must 1
of 4
once 1
prevent 1
proceeds 1
realise 1
results 1
reveals 1
sabbath 1
selling 1
shocked 1
stopped 1
story 2
that 1
the 8
these 1
they 1
this 1
time 3
times 1
timetravel 1
to 3
travellers 1
undercover 1
universes 1
who 1
with 1
working 2
