8876503
/m/0hgp1qw
/m/0hgp1qw
Steven Levy
2006-10-24
2001 1
2005 1
a 3
ability 1
an 2
and 7
anecdotes 1
anthropologist 1
apple 3
as 1
aspects 1
at 1
author 1
bill 1
book 2
carl 1
ceo 1
chairman 1
changed 1
chapters 1
coda 1
cofounder 1
community 1
cool 2
coolness 1
create 1
cultural 1
download 1
dr 1
factor 1
familiar 1
focusing 1
for 1
founder 1
from 1
gates 1
he 1
how 2
idea 1
identity 2
in 2
includes 1
individuals 2
industry 1
interviews 1
ipod 2
ipodthe 1
it 2
its 2
itunes 1
jobs 1
levy 2
made 1
many 1
michael 1
microsoft 1
mp3com 1
music 2
note 1
noted 1
october 2
of 7
on 1
origin 1
origins 1
others 1
perfect 2
personal 2
podcast 1
professor 1
quotes 1
robertson 1
rohde 1
running 1
set 1
shuffle 1
shuffled 1
starts 1
steve 1
store 1
such 1
the 9
then 1
timeline 1
to 2
university 1
utrecht 1
with 3
writes 2
