520349
/m/02k_21
/m/02k_21
Gary Gygax
1980
32page 1
63 1
a 11
access 2
actions 1
activity 2
actually 1
additional 1
advance 1
adventure 7
aid 1
all 1
along 1
also 2
although 1
an 2
and 12
arc 1
are 3
area 5
areas 1
armor 1
artwork 1
as 2
attack 3
avoid 1
barrier 4
batteries 1
be 2
been 1
before 1
blaster 1
booklet 1
both 2
boxing 2
bunnyoid 1
by 2
c 1
campaign 1
can 3
cards 3
cave 2
characters 5
collected 1
color 1
colored 2
comes 1
commandeered 1
commanding 1
communicate 1
constant 1
contributions 1
coupons 2
cover 1
creatures 1
creatureswho 1
crew 3
cure 1
cute 1
david 2
dead 1
deck 2
dee 1
defeat 1
dependent 1
depicting 1
describe 1
destroyed 1
devices 2
dining 1
discover 1
divided 1
downed 1
duchy 1
duke 1
either 1
else 1
emerging 1
encounter 1
encountered 1
ends 1
entering 1
entrance 1
erol 1
expedition 3
explained 1
find 2
first 1
fleming 1
follows 1
food 1
for 3
from 1
full 1
functioning 1
futuristic 1
games 1
gardens 2
gather 1
geoff 2
grand 2
greg 1
greyhawk 1
guide 1
has 1
have 3
high 1
hired 1
his 1
however 1
humanoid 1
if 1
ignored 1
iii 1
illustrations 2
in 8
includes 1
including 1
incursions 1
inhabitants 1
instructions 1
into 1
introduction 1
involve 1
is 8
it 4
its 1
jeff 1
jim 1
journey 1
k 1
karate 2
killed 1
laforce 1
last 1
later 1
leave 1
leaving 1
little 1
loading 1
lounge 2
many 1
master 1
may 1
medical 1
menagerie 2
moldy 1
monsters 3
mountain 1
mountains 1
much 1
must 1
need 1
next 1
no 1
now 1
numbered 1
of 12
on 3
or 1
origin 1
other 1
otus 1
out 1
peaks 4
place 1
plant 1
players 2
plot 1
poison 1
postscript 1
powered 1
printed 1
produced 1
provided 1
quarters 2
range 1
repair 1
requires 1
restricted 1
rifles 1
robot 4
robots 2
roslof 1
run 1
s 1
sections 2
seen 1
serves 1
servo 1
setting 1
several 1
ship 2
situations 1
six 1
some 1
spacecraft 1
spaceship 2
still 2
stop 1
story 1
stump 1
succession 1
succumbed 1
such 1
suits 1
superior 1
sutherland 1
takes 1
tech 1
tell 1
that 6
the 50
their 2
them 2
then 1
there 1
these 1
they 2
to 13
trying 1
two 1
under 1
until 1
use 1
vain 1
various 2
vegepygmysshort 1
video 1
virus 2
was 1
way 1
were 1
where 1
whose 1
will 2
with 4
works 1
world 1
