2143882
/m/06p_6w
/m/06p_6w
Tony Hendra


14 1
18 1
27 1
40 1
a 13
abbey 1
admitted 1
affair 1
age 1
alan 1
an 2
and 5
april 1
arms 1
at 2
attend 1
attended 1
be 2
become 2
before 1
begin 1
bennett 1
beyond 1
brilliant 1
by 1
called 1
cambridge 2
came 1
cartoonish 1
catholic 1
coast 1
college 1
continued 1
cook 1
could 2
course 1
death 1
decided 1
decision 1
degree 1
devout 1
different 1
disciplined 1
discovered 1
dont 1
dudley 1
each 1
eighteen 1
england 1
expecting 1
father 4
fell 1
first 1
for 1
found 1
fringe 1
going 1
had 3
he 5
hendra 8
her 1
him 2
his 4
husband 1
i 3
im 1
impact 1
in 4
instead 1
into 1
isle 1
it 1
joe 3
jonathan 1
joseph 1
kindly 1
laughter 1
legally 1
life 1
love 1
married 1
miller 1
monastery 2
monk 4
moore 1
more 1
not 1
obtain 1
of 4
off 2
on 5
other 1
out 2
performance 1
peter 1
prayer 1
quarr 3
reached 1
received 1
revue 1
satirist 1
save 2
scholarship 1
set 1
so 1
spite 1
such 1
surprised 1
than 1
that 3
the 7
theater 1
theatrical 1
them 1
think 1
through 2
time 1
to 9
took 1
totally 1
treated 1
trip 1
university 1
until 1
urged 1
visit 1
warrilow 1
was 2
went 1
when 4
while 1
wight 1
with 2
woman 1
words 1
world 1
years 1
