8561256
/m/02pf61v
/m/02pf61v
Nassim Nicholas Taleb
2007-04-17
{"/m/05h83": "Non-fiction"}
a 15
about 1
abstract 1
acknowledges 1
addresses 1
advice 1
against 1
age 1
an 3
analysis 1
and 18
approach 2
argue 1
argues 1
as 8
at 2
author 1
autobiographical 1
basic 1
be 2
became 3
beginning 2
bestseller 1
big 1
black 5
blindness 1
book 8
box 1
brings 1
business 1
but 1
by 1
can 1
categories 1
cause 1
ceti 1
chapter 5
character 2
coming 1
company 1
concepts 1
connects 1
contains 1
contradiction 1
corporation 1
define 1
delve 1
denizens 1
described 2
describes 1
determining 1
deviations 1
discovered 1
discussed 2
distribution 2
drive 1
due 1
earlier 1
effect 2
elephants 1
elucidates 1
enjoy 1
environment 1
environments 2
essay 1
essentially 1
evaporating 1
event 1
events 2
exact 1
explanations 1
extremistan 2
face 1
famous 1
fiction 1
fictional 1
firm 1
first 2
follows 1
forward 1
four 2
from 1
fun 1
future 1
gaussian 2
go 2
guides 1
half 1
has 2
he 6
her 4
hint 1
his 4
historical 1
history 2
how 3
idea 4
illustrate 1
imprecise 1
in 14
incident 1
indicator 1
induction 1
international 1
into 2
intolerant 1
introduces 1
is 9
it 3
krasnova 1
large 1
later 1
latter 1
layout 1
levant 1
life 1
literary 1
logic 1
mathematical 1
may 1
mediocristan 2
metaphor 1
moving 1
multiple 1
named 1
narrative 2
nassim 1
nicholas 1
nikolayevna 1
nine 1
no 2
nonfiction 1
occurs 1
of 19
on 2
one 6
opacity 1
opaque 1
or 2
orbiting 1
our 1
out 1
outlines 1
own 2
part 5
particularly 1
past 1
performance 2
peril 1
philosophical 1
pink 1
planet 1
poking 1
portions 1
predictable 1
predicting 1
previously 1
problem 1
produced 1
psychology 1
published 2
publishing 2
questioning 1
randomness 1
ravens 1
reader 1
recursion 2
refers 1
rejection 1
relation 1
reminiscent 1
remote 1
respect 1
safely 1
science 1
scientific 1
second 1
seems 2
sees 1
she 1
simple 1
single 2
skepticism 1
small 2
still 1
story 3
studying 1
subjects 2
swan 3
swanyevgenia 1
takes 1
taleb 13
tau 1
tells 1
temperament 1
that 2
the 32
them 2
then 2
theory 1
they 1
third 1
this 3
three 1
to 11
together 1
topics 2
triplet 1
turkey 1
two 2
uncertainty 1
uncertainwhite 1
unedited 1
unknown 1
use 1
used 1
uses 3
using 1
variously 1
was 1
way 1
web 1
what 1
which 1
why 1
with 2
work 1
world 1
yevgenia 2
