16036731
/m/03qlkwg
/m/03qlkwg
Jack Williamson
1955
a 14
able 1
actually 1
advantage 1
adventurer 1
against 1
agent 1
aging 2
all 1
alliance 1
ambitious 1
an 5
ancient 1
and 21
answers 1
apparently 2
apparentlyof 1
are 5
aristocracy 1
as 1
assassinate 1
at 2
attempt 1
attends 1
beautiful 1
become 1
becomes 1
been 2
before 1
bit 1
blood 1
both 1
brewing 1
but 2
by 5
can 2
cap 3
capability 1
capable 1
capture 2
captured 1
causes 1
celebration 1
chaos 1
chinese 2
clash 1
cluster 1
companion 1
company 2
completes 1
conditions 1
conflict 1
consumed 1
consumes 1
control 1
controlling 1
corrupt 1
covert 1
critical 1
curious 2
dangers 1
daughter 1
deactivating 1
dead 2
death 1
dedicate 1
descending 1
desert 2
desperate 1
diamonds 1
director 2
directors 2
directorsand 1
disguise 1
displaying 1
duchane 2
earth 1
effeminate 1
encounters 3
ensuing 1
entertaining 1
equal 1
eron 6
eronian 1
escape 2
escaping 1
eventually 1
every 2
explain 1
fact 1
failed 1
falls 1
far 1
fasterthanlight 1
fatal 1
finally 1
finding 1
finds 1
forces 1
forging 1
freedom 1
from 3
garth 1
gathered 1
gauntlet 1
general 2
golden 1
guards 1
hands 1
harsh 1
has 1
having 1
he 5
heirapparent 1
held 1
her 1
here 1
hiding 1
him 1
himself 1
hired 1
his 7
history 1
holderat 1
home 2
horn 14
idle 1
illusion 1
immortal 1
important 1
imprisoned 1
in 14
incoherently 1
increasingly 1
intended 1
interview 1
into 1
is 9
just 1
key 1
knowledge 1
known 1
knows 1
kohlnar 3
leader 1
leaders 1
learned 1
least 1
liberator 1
lil 3
locked 1
make 1
making 1
man 1
manager 2
manhunt 1
manuscript 1
marry 1
master 1
matal 1
meeting 1
mere 1
merely 1
mingle 1
mission 1
more 1
move 1
murdered 1
mysterious 1
mystery 1
natural 1
nature 1
nearing 1
necessity 1
neither 1
new 1
no 1
north 1
not 1
now 1
of 21
off 1
on 2
one 2
only 1
opportunist 1
or 3
other 1
outlaws 1
over 2
parties 1
past 1
peter 1
place 1
plan 1
planet 3
planets 1
playing 1
polar 3
political 1
possession 1
possibly 1
power 1
presumably 1
prison 2
prisoner 1
process 1
puppet 1
pure 1
quest 1
reaching 1
read 1
real 1
recorded 1
rescue 1
rescued 1
rescuing 1
returning 1
reveal 1
revolt 1
revolution 1
revolutionaries 1
role 1
rural 1
sair 3
scattered 1
secret 5
security 2
seem 1
sent 1
shapechanging 1
she 1
shooting 1
shot 1
skills 1
space 1
station 1
steals 1
struggle 3
subway 1
succession 1
suit 1
surviving 1
take 1
takes 1
temptation 1
that 2
the 53
their 2
them 1
there 1
they 2
though 1
through 3
thus 1
to 19
together 1
transdimensional 1
travel 1
tricked 1
troops 1
tube 3
tubes 3
turn 4
unknown 1
vantee 1
vendor 1
victim 2
way 2
wealthy 1
wendre 6
wherein 1
which 1
while 2
who 1
whom 1
with 4
world 2
wu 9
yet 1
