1863380
/m/06205k
/m/06205k
Ross Macdonald
1950
175 1
a 2
an 1
and 2
archer 2
basis 1
before 1
between 1
blackmail 1
book 1
but 1
by 2
californian 1
comes 1
concerned 1
corrupt 1
departures 1
destroyed 1
family 1
film 1
from 2
has 1
hired 1
house 1
idyllic 1
in 1
including 1
industry 1
instead 1
investigate 1
investigating 1
is 3
it 1
just 1
letter 1
line 1
lives 1
location 1
long 1
louisiana 1
more 1
movie 1
moving 1
murder 1
name 1
newman 1
not 1
novel 1
of 4
oil 1
oilrich 1
on 1
one 1
other 1
paul 1
plot 1
radical 1
received 1
same 1
seedy 1
she 1
situated 1
slanderous 1
small 1
southern 1
the 15
to 2
town 2
towns 1
two 1
was 1
which 1
with 1
woman 1
