5713121
/m/0f0q5n
/m/0f0q5n
John Willard


a 4
after 1
and 2
annabelle 1
are 1
as 1
at 2
be 2
bearing 1
calls 1
canary 1
cats 1
concerns 1
converge 1
cyrus 2
death 2
decrees 1
distant 1
eccentric 1
family 1
felt 1
fragile 1
haunted 1
have 1
he 1
heir 2
his 6
home 1
house 1
i 1
if 1
in 1
inheritance 1
into 1
is 1
legally 2
mansion 1
most 1
my 1
name 1
night 1
now 1
of 4
old 3
point 1
provided 1
question 1
read 1
reads 1
relative 1
relatives 2
rest 1
rich 1
sane 1
sanity 1
sole 1
spent 1
spooky 1
still 1
story 1
that 3
the 8
they 2
twenty 1
watched 1
wealth 1
were 1
west 4
which 1
who 2
will 2
woman 1
years 1
young 1
