3800896
/m/0b0pt5
/m/0b0pt5
Mo Hayder
2001-06-04
8yearold 2
a 9
abducted 1
abuse 1
abused 1
again 1
alek 2
alive 1
allow 1
also 1
and 13
another 2
are 3
as 3
at 2
attack 1
attacker 1
badly 1
be 2
beaten 1
been 2
bite 1
body 1
bound 1
boy 4
brain 1
brockwell 1
brother 2
caffery 7
case 1
child 4
children 1
close 2
clues 2
convinced 1
damage 1
death 1
dehydrated 1
dental 1
detective 1
di 1
disappearance 1
discovered 2
discovering 1
dna 1
do 1
down 1
earlier 1
emerge 1
ewan 2
family 2
fate 1
father 1
find 3
following 1
forced 1
friend 1
from 1
get 1
gets 1
girl 1
hand 1
hands 1
has 1
he 1
head 1
helping 1
her 1
him 1
his 4
home 1
hot 1
however 1
husband 2
imprisoned 2
in 3
inspector 1
is 7
it 1
its 1
jack 1
josh 1
little 1
london 1
make 1
man 1
many 1
marks 1
match 1
member 1
memories 1
might 1
missing 1
molester 1
near 1
never 1
not 1
of 6
on 3
one 1
out 2
over 1
own 2
paedophile 1
park 2
pattern 1
patterns 1
peach 2
pieces 1
police 1
pornography 1
proves 1
rekindles 1
ring 1
rory 3
round 1
same 2
seems 1
seen 1
semen 1
sexual 2
shoulder 1
slowly 1
sodomise 1
son 2
south 1
start 1
still 1
suffered 1
summer 1
targeting 1
team 1
that 2
the 12
their 2
then 1
they 2
theyve 1
time 1
to 8
together 1
tracks 1
tries 1
turned 1
understands 1
up 1
very 1
vicious 1
videos 1
was 3
when 1
which 1
who 4
wife 1
will 1
with 1
yearold 1
years 1
young 2
