9211949
/m/0280g73
/m/0280g73
Muriel Spark
1970
a 7
about 2
absurdity 1
accountancy 1
acknowledgement 1
admits 1
affair 1
age 1
alert 1
alienation 1
also 1
an 2
and 12
annihilation 1
antidote 1
apparently 1
as 1
be 1
because 1
behaviour 1
birth 1
blandly 1
boyfriend 1
but 4
certainty 1
chaos 1
chapter 1
city 1
clashing 1
clothing 1
comfort 1
complex 1
confrontational 1
continually 1
control 2
death 2
debasement 1
denmark 1
denying 1
deprived 1
described 1
detached 1
disturbing 1
do 1
driven 1
driver 2
empowerment 1
empty 1
erratic 1
europe 1
european 1
events 1
eventually 1
examination 1
existing 1
expensive 1
explicitly 1
fairy 1
female 1
firm 1
flat 1
for 2
garishly 1
genuine 1
godordered 1
had 1
has 1
hence 1
her 9
i 1
ideal 2
illness 1
illusory 1
impersonal 1
in 12
is 13
isolation 3
it 3
its 1
life 2
lifestyles 1
lise 6
location 1
love 1
lover 1
meet 1
merely 1
mirrored 1
modern 3
moral 1
more 1
murdered 1
my 1
naples 1
narrative 1
nature 1
new 1
northern 1
not 4
novel 3
of 10
often 1
ostensibly 1
own 1
parents 1
perfect 1
perverts 1
place 2
practised 1
probably 1
provocative 1
quest 1
questions 1
raises 1
reader 2
reflected 1
replace 1
replaces 1
revealed 2
romance 1
search 1
seat 2
seeking 1
series 1
she 3
small 1
so 1
social 1
society 1
somewhere 1
south 1
spark 4
specified 1
spinster 1
spiritual 1
spirituality 1
sterile 1
story 1
strangeness 1
study 1
suffered 1
take 1
tale 1
term 1
that 4
the 19
these 1
they 1
third 1
this 2
thoughtprovoking 1
to 5
traditional 1
travels 1
trendy 1
ultimately 1
uses 1
utilitarian 1
values 2
victimisation 1
what 1
which 2
why 1
whydunnit 1
will 1
wish 1
woman 1
working 1
world 2
years 1
