8568732
/m/02787kd
/m/02787kd
Dominic Barker
2007
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
2 1
a 6
after 2
alive 1
and 8
are 4
arrives 1
as 3
associating 1
because 1
begins 1
believed 1
bets 1
blart 6
blue 1
both 1
but 2
by 1
called 1
capablanca 4
cards 5
chances 1
company 1
conned 1
ddakjfdioasdjfoasdfjs 1
dead 1
dealer 2
deceased 1
deck 1
different 1
difficulty 1
drastically 1
dwarf 1
each 1
even 2
every 1
everything 1
exception 1
farm 1
favour 1
find 1
five 1
for 1
freedom 1
from 1
game 3
gathering 1
good 1
grasped 1
hands 1
has 5
he 3
help 1
him 3
himself 1
his 3
however 2
if 2
imprisoned 3
imprisonment 1
in 2
innocence 1
is 4
it 3
itblart 1
keeps 1
king 2
last 1
life 1
living 1
lord 1
make 1
merchant 1
minions 1
money 1
muggins 3
must 3
named 1
no 1
nondealer 3
of 8
on 1
one 2
or 2
original 1
other 2
out 2
over 1
own 1
owns 1
picks 1
pig 1
play 2
player 1
prove 1
questors 2
quite 1
remembering 1
resolves 1
round 1
same 1
say 2
simply 1
so 2
soon 1
sooner 1
stakes 1
tell 1
than 2
that 4
the 21
their 2
them 2
then 3
they 3
though 1
three 1
to 8
travel 1
tungsten 1
turns 1
two 1
uther 4
wanted 3
warn 1
was 1
were 1
where 2
who 1
wily 1
win 1
winning 1
wins 2
with 3
zoltab 3
