14440432
/m/03d3m69
/m/03d3m69
Richard Adams
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/098tmk": "War novel"}
1862 1
1866 1
1870 1
actual 1
again 1
and 5
army 1
as 2
at 1
beat 1
becomes 1
begin 1
bought 1
by 1
civil 1
commander 1
confederate 1
convinced 1
country 1
death 1
despite 1
died 1
does 1
e 1
early 1
end 1
events 1
experiences 1
eyes 1
faith 1
favorite 1
feline 1
follows 1
friend 1
from 1
funeral 1
general 2
has 1
he 1
his 6
horse 1
in 4
is 1
lee 7
life 1
marching 1
master 1
meant 1
narrative 1
not 2
novel 1
now 1
of 7
postbellum 1
president 1
procession 1
relates 1
retired 1
return 1
ride 1
robert 1
role 1
seen 1
spring 1
story 1
that 3
the 10
through 1
time 1
to 3
traveller 3
understand 1
undying 1
union 1
university 1
until 1
versus 1
war 2
was 1
washington 1
will 1
with 1
