2998369
/m/08jn9l
/m/08jn9l
Graham Greene

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 8
admitted 1
and 5
aristocracy 1
as 2
assist 1
bay 1
be 1
benditch 1
biscay 1
bitter 1
book 1
brutal 1
cause 1
centuriesold 1
channel 1
civil 3
coal 1
contract 1
could 1
country 3
cross 1
current 1
d 1
depiction 1
destroy 1
details 1
determined 1
doubt 1
embroiled 1
england 2
faced 1
factional 1
faltering 1
fight 1
fights 1
final 1
for 1
from 2
geography 1
greatly 1
greene 1
having 1
himself 1
history 1
in 5
inspiration 1
internally 1
is 3
it 1
its 2
kept 1
landowning 1
leftleaning 1
little 1
lord 1
loyalist 1
magnate 1
main 1
moreover 1
much 1
must 1
nameless 1
noted 1
of 3
part 1
patriot 1
politics 1
popular 1
position 1
privileged 1
question 1
regain 1
remain 1
republic 2
revolutionary 1
sail 1
secure 1
ship 1
so 1
spanish 1
specifically 1
still 1
suffering 1
that 3
the 11
then 1
there 1
to 5
travelling 1
vague 1
war 3
was 1
westward 1
while 1
will 1
with 2
