5369692
/m/0dhthv
/m/0dhthv
Ian Rankin
1998
a 6
and 2
between 1
big 1
bosnian 1
by 1
cafferty 1
car 1
chechen 1
close 1
criminal 1
daughter 1
deliberate 1
detective 1
down 1
established 1
eyes 1
frame 1
gang 1
gangster 3
ger 1
have 1
helps 1
his 1
hitandrun 1
in 2
inspector 1
intercede 1
investigating 1
is 4
japanese 1
john 1
killed 1
knocked 1
known 1
like 1
links 1
looks 1
mr 1
named 1
newcastle 1
peoplesmuggler 1
pink 1
prostitute 1
rebus 4
saab 1
sammy 1
someone 1
suspected 1
tarawicz 1
telford 2
territory 1
to 3
tommy 1
traumatised 1
tries 1
trying 1
upstart 1
using 1
war 2
what 1
with 1
