15745503
/m/03x_pvr
/m/03x_pvr
Gordon Korman
1979
1426 1
20nbsplbs 1
644664 1
a 17
able 1
about 2
academy 5
account 2
across 1
after 5
agree 1
aka 1
all 3
allows 1
also 1
although 1
an 2
and 16
any 2
anymore 1
anyone 1
are 3
as 1
ask 1
astute 1
at 3
athletic 2
attempts 1
attribute 1
awful 1
bank 1
be 3
because 2
before 1
believe 1
better 2
boot 1
booth 1
boots 5
borne 1
boys 3
bruno 4
but 2
by 2
call 1
cannot 2
catches 1
chance 1
close 1
comes 1
complaining 1
considering 1
cooperation 1
cost 1
creates 1
day 1
dejected 1
desire 1
desperate 1
direction 1
discovery 1
dollars 1
due 1
dumping 1
each 1
earnings 1
effervescent 1
effort 1
efforts 1
element 1
encounter 2
end 1
enough 2
even 1
eventually 2
facility 1
fact 1
fierce 1
fifty 1
finishing 1
first 1
fish 1
flea 1
for 4
friends 1
from 3
fundraisers 1
fundraising 1
gain 2
george 2
gets 1
getting 1
girlsonly 1
hall 2
hands 1
handshake 1
have 2
having 1
he 5
headmaster 2
her 1
his 3
idea 3
if 2
ignores 1
iii 1
important 1
in 3
includes 1
including 1
individual 1
institution 1
into 4
invest 1
investments 1
is 5
it 2
its 1
jealousy 2
knowing 1
ladies 1
learns 1
leery 1
losing 1
loyalty 1
macdonald 1
mainly 1
major 1
make 1
makes 2
making 1
many 2
market 2
means 1
meet 1
meets 1
might 1
mining 1
mocking 1
money 7
more 4
mr 5
ms 2
never 1
not 3
notifies 1
of 18
off 2
offers 1
old 1
on 1
one 1
operation 1
other 2
out 2
outside 1
own 3
parents 2
pays 1
phone 1
photocontest 1
pool 6
program 2
public 1
punishes 1
punishment 1
pure 1
pursue 1
raise 2
raising 2
realizing 1
reliable 1
resources 1
result 2
retaliating 1
reveals 1
revenue 1
rival 1
road 2
roommate 1
running 1
school 7
scrimmage 2
sell 1
set 1
severe 1
severely 1
short 1
show 1
silver 1
solution 2
source 1
spectacular 1
spitefully 1
staff 1
start 1
stock 2
students 4
sturgeon 6
such 1
supply 1
swim 1
take 2
takes 1
talent 1
talking 1
tells 3
than 1
that 6
the 28
their 8
them 10
then 2
there 1
they 7
things 1
think 1
this 4
though 1
thousand 1
through 1
thus 1
to 12
toll 1
traditional 1
transferred 1
transferring 1
two 1
under 1
up 1
utilize 1
want 1
wealthy 1
wexfordsmyth 1
when 1
where 1
which 3
while 1
with 3
without 1
would 2
york 6
young 1
