705675
/m/0349xs
/m/0349xs
Alberto Moravia
1951
{"/m/0d6gr": "Reference", "/m/02xlf": "Fiction"}
a 38
able 1
abnormality 1
absolution 2
abuse 1
abuses 1
acceptance 1
accident 1
accosted 1
acknowledges 1
actions 4
activities 1
affair 1
again 2
agent 1
agitator 1
aid 1
aides 1
air 1
allows 1
alone 1
alongside 1
also 3
always 1
an 9
and 48
antifascist 1
any 1
apartment 1
apparent 2
appear 1
appearance 1
appears 1
approach 1
approval 1
are 4
area 1
arguing 1
argument 1
arm 1
arms 1
around 3
arrives 2
as 9
asks 2
asylum 1
at 6
atheism 1
attack 1
attacks 1
attempting 1
attempts 1
attending 1
attraction 1
authorities 1
aware 1
away 1
back 2
be 7
bedroom 1
been 1
before 2
beggar 1
begin 1
beginning 2
begs 1
behavior 2
between 4
blames 2
blood 1
book 1
boy 3
briefly 1
brothel 2
bullets 1
but 6
by 9
calls 1
can 1
capable 1
car 2
cat 1
catholic 1
causing 1
ceremony 1
chases 1
chauffeur 5
childhood 1
classmates 2
cleaning 1
client 1
clippings 1
closes 1
closing 1
coax 1
coldly 1
colleague 1
come 1
comes 1
complies 1
comply 1
confesses 1
confession 1
confirm 2
conflicted 1
contempt 1
contrast 1
convince 1
could 1
covers 3
culpability 1
daughter 3
day 1
days 2
dead 1
death 1
decline 1
defends 1
defrocked 1
delusion 1
demands 1
desire 1
despite 2
dinner 1
discover 1
dislike 1
does 4
doesnt 2
drawing 1
dress 1
drive 3
driving 1
due 1
duplicity 1
during 2
duties 1
effeminate 1
embarrassment 1
emotion 2
employee 1
en 3
ends 1
epilogue 2
escape 1
evade 1
even 2
evening 1
events 1
exchange 1
expects 1
experience 1
experiences 1
explores 1
eyes 1
faces 1
falls 2
family 1
familys 1
fascist 1
father 7
fathers 1
feel 1
feeling 2
feelings 1
feels 2
fence 1
few 2
fight 2
final 1
find 1
finds 2
fires 1
first 4
five 1
flees 1
floored 1
follow 1
for 23
force 1
forgotten 1
formative 1
former 2
france 1
friend 1
from 4
fulfill 1
fully 1
further 1
gender 1
giulia 11
giulias 1
gives 1
go 2
goes 1
government 4
grabs 1
growing 1
gun 3
hands 1
happening 1
happens 1
has 7
hat 1
have 1
he 23
head 2
hearing 1
her 8
him 20
himself 5
his 43
holes 1
home 4
homosexual 1
honeymoon 2
hotel 1
house 2
housemaid 1
however 1
human 1
humiliation 1
i 1
identity 2
if 2
ignore 1
ii 1
illness 1
in 27
incident 3
including 1
indecent 1
indicates 2
inevitable 1
infiltrate 1
information 1
initiating 1
innocence 2
instead 2
instructions 1
intensify 1
intercepted 1
interest 2
interpersonal 1
interrupted 1
into 3
involved 1
is 24
it 5
italian 2
italy 1
ivy 1
keeps 1
kill 1
killed 3
kills 1
later 4
lavishing 1
leading 1
leads 3
leaves 1
leaving 2
left 1
length 1
lesbian 1
let 1
letter 3
life 1
like 1
lina 9
linas 1
lino 8
linos 1
lives 1
lizards 1
locks 1
long 1
looking 1
loose 1
loss 1
love 2
make 2
makes 1
man 2
marcello 47
marcellos 12
mark 1
married 1
meet 1
men 1
mental 1
merely 2
might 1
mission 1
mistaken 1
mistakes 2
monitored 1
monthly 1
more 1
mortified 1
mother 7
motherinlaw 1
mountains 1
much 1
murdering 1
murders 2
mussolini 1
mussolinis 1
name 1
named 4
needs 1
neighbor 1
neither 1
new 1
newspaper 1
night 1
nightclub 1
no 1
nonconformity 1
nor 1
not 5
novel 2
novels 1
now 3
numerous 1
obituary 1
obtains 1
odd 1
of 27
offering 2
offers 2
often 1
old 3
on 9
one 2
only 1
opens 1
or 3
organization 1
orlando 7
otherwise 1
out 5
over 1
own 2
parents 1
paris 3
part 3
participate 1
passage 1
perceives 1
perhaps 1
period 1
photograph 1
physically 1
pistol 2
place 1
plan 1
planes 1
poking 1
possible 1
post 1
power 1
praise 1
prelude 1
presence 2
present 1
priest 2
professor 1
prologue 2
proposition 1
prostitute 3
pulls 1
pursuit 1
quadri 9
quadris 5
question 1
raid 1
rationalize 1
reader 1
real 1
realizes 2
realizing 1
recognizes 1
refuses 2
rejection 1
relationships 1
reminds 1
remorse 2
reprisals 1
rescue 1
response 1
responses 1
retrieve 1
return 1
revealed 2
reveals 2
revisiting 1
roberto 5
robertos 1
role 2
room 1
route 3
ruining 1
safety 1
same 1
savoy 1
scene 1
scheduled 1
school 1
screams 1
second 1
section 2
seduce 2
see 3
seek 2
sees 1
sentiments 1
service 1
several 1
she 4
shoot 1
shopping 1
short 1
shortly 1
show 1
shows 1
sign 1
simply 1
six 1
slingshot 1
small 1
so 2
solidarity 1
some 3
somewhat 1
sorrow 1
speak 1
speech 1
spy 1
squalor 1
stark 1
state 1
still 1
stones 1
stop 1
stops 1
strafed 1
strange 1
stranger 1
streaks 1
struggle 1
suffers 1
suspected 1
suspicious 1
take 2
taken 1
takes 3
taking 1
tell 1
telling 1
tells 4
than 1
that 26
the 74
their 9
them 1
then 1
there 2
they 2
this 5
though 1
through 2
throughout 1
time 2
to 64
top 1
torment 1
torn 1
town 1
tries 3
trip 1
true 2
try 1
turned 1
two 1
ultimately 3
understand 1
unfold 1
unnamed 1
unspecified 1
unspoken 1
up 1
upon 1
use 1
vandalized 1
vehicle 1
victims 1
visit 1
voluptuous 1
waits 1
walk 1
was 1
wave 2
way 2
ways 1
we 1
wear 1
wedding 3
well 1
what 2
when 7
where 2
whether 1
while 3
who 7
whom 1
wife 3
window 1
with 12
witnesses 2
woman 1
wont 2
wooded 1
would 2
wounded 1
yard 1
years 2
young 1
