4399486
/m/0c04td
/m/0c04td
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
14 1
14hour 1
a 29
able 1
accepts 1
accompany 1
accomplished 1
according 1
acquaint 1
acquainted 1
acquire 1
acquisitive 1
actual 1
address 1
adjacent 1
adopts 1
after 7
aftermath 1
aggravate 1
agreement 1
alberto 1
ale 1
alive 1
all 3
already 1
also 1
american 2
amricaines 1
an 5
and 39
another 8
answers 1
anxiety 1
anyone 1
appeal 1
appear 1
applauded 1
approach 1
archie 8
are 8
arrest 1
arrests 1
as 5
assailant 1
assistant 1
astonishment 1
at 9
attempt 1
attention 2
attorney 3
authorities 1
avoiding 1
awakened 1
back 1
barry 2
based 1
be 2
beautiful 1
because 2
been 3
begins 1
behavior 1
behind 1
believe 1
berin 28
best 1
better 1
between 1
black 5
blackface 1
blanc 2
blurts 1
body 1
book 1
bootless 1
both 1
brought 1
budding 1
bullet 2
but 8
by 11
call 1
called 1
calls 2
calm 1
can 2
car 3
carried 1
carrying 1
certainly 1
cheek 1
chef 2
chefs 8
chervil 1
chives 1
churchill 3
civility 1
claimed 1
clearly 1
closely 1
club 3
color 2
comes 2
committed 1
compares 1
compartment 1
composed 1
constanza 4
consult 1
contain 1
continues 3
contrast 1
contributions 1
convict 1
convinces 1
correctly 1
could 1
couldnt 1
county 1
courtesy 2
covets 1
crime 1
cuisine 4
culinary 1
curdled 1
current 2
custody 1
damage 1
dancing 2
daughter 1
de 1
deal 1
deals 1
dean 1
debt 2
decides 3
deliver 1
delivering 1
delivers 1
demeanor 1
despite 1
did 1
different 1
dina 2
diners 1
dining 10
dinner 2
disapproval 1
disclosing 1
disgusted 1
dish 3
dishes 2
disparages 1
disregarded 1
disservice 1
distinctions 2
distraught 1
divider 1
do 3
doctor 1
does 4
door 1
down 1
dressed 1
dressing 1
duck 1
each 3
eggs 1
either 1
employer 1
enough 1
enraged 1
enters 1
equity 1
even 1
evidence 2
exclusions 1
exclusively 1
exonerating 1
explore 1
expressed 1
facial 1
famous 2
feelings 1
few 1
finally 1
find 1
finds 1
finger 1
finished 1
first 3
five 1
flood 1
flown 1
followed 1
for 7
friend 2
from 13
full 1
further 1
furthermore 1
gathered 1
gathering 1
get 2
ginger 1
give 1
glaring 1
go 1
got 1
great 1
greenbrier 1
group 3
guarded 1
guests 1
habit 1
had 2
halt 1
handicap 1
hard 1
has 9
haute 1
have 4
having 2
he 25
helping 3
her 1
herself 1
hewitt 1
hidden 1
him 8
his 21
holding 2
