1895394
/m/064fv9
/m/064fv9
John Updike
1981-09-12
a 5
about 1
achieved 1
also 1
and 4
angstrom 1
at 1
basketball 1
become 1
birth 2
book 1
brewer 1
but 2
child 1
city 1
comfortably 1
complicate 1
countryclub 1
deal 1
dealership 1
drinking 1
embarrassed 1
enamored 1
ever 2
examines 1
father 1
fictional 1
former 1
friend 1
from 2
given 1
greedy 1
had 1
harry 6
has 3
have 1
having 2
he 3
her 1
high 1
his 9
indecision 1
indeed 1
inherited 1
irresponsibility 1
is 4
janice 1
kent 1
late 1
libido 1
life 2
lifestyle 1
live 1
lover 1
mdash 2
middleage 1
neither 1
nelson 1
not 1
novel 1
of 6
onetime 1
parents 1
past 1
paunchy 1
pennsylvania 1
persistent 1
poor 1
problems 1
quite 1
rabbit 2
reached 1
relocating 1
rich 1
ruth 1
satisfied 1
schemes 1
school 1
series 1
she 1
somewhat 1
son 2
spectres 1
star 1
state 1
student 1
that 1
the 4
their 1
third 1
this 1
throughout 1
to 2
toyota 1
troubled 1
twentytwo 1
university 1
updike 1
whether 1
who 2
wife 3
with 1
without 1
wonders 1
workingclass 1
would 1
years 1
young 1
