717649
/m/035dq2
/m/035dq2
Aaron Allston

a 6
able 1
acquiesce 1
adventures 2
after 1
along 1
and 9
antilles 2
any 1
aphran 1
are 2
as 1
away 1
begins 1
borleias 1
both 1
but 2
by 1
c3po 1
capture 1
combined 1
commander 1
commits 1
continue 1
continues 1
continuing 1
coruscant 2
creating 1
czulkang 2
dangerous 1
dark 2
death 2
defeated 1
defend 1
destroyed 1
destroyer 1
directly 1
doesnt 1
draws 1
dream 1
droids 1
efforts 1
elgrin 1
elsewhere 1
encounter 1
escape 2
except 1
fitted 1
flagship 1
fleet 2
flown 1
foiled 1
from 2
genetically 1
government 1
han 1
he 1
identical 1
in 3
into 1
irek 1
is 7
ismaren 1
it 1
iv 1
jade 1
jaina 1
jedi 3
lah 3
laser 1
leia 1
lord 1
luke 2
lusankya 1
mara 1
meanwhile 2
mission 2
missions 1
modified 1
more 1
most 1
mythical 1
nyax 3
obsession 1
of 3
off 1
on 3
one 2
organa 1
out 2
overthrow 1
perishes 1
planet 1
planetary 1
plans 2
powerful 1
r2d2 1
really 1
rebel 1
regard 1
result 1
root 1
rooting 1
scouting 1
set 2
she 1
shesh 1
similar 1
skywalker 2
solo 2
spear 1
spy 1
squadron 2
star 2
started 1
success 1
suicide 1
super 1
superlaser 1
tahiri 1
tam 1
than 1
that 1
the 18
their 4
there 1
they 2
though 1
to 8
using 1
veila 1
viqi 1
vong 4
vongcontrolled 1
wedge 1
while 1
who 1
with 5
work 1
worldship 2
wraith 2
yuuzhan 4
