844209
/m/03gchj
/m/03gchj
Flann O'Brien

a 7
able 1
after 1
age 1
aged 1
air 1
all 1
also 1
and 5
appeared 1
atomic 1
augustine 2
because 1
been 2
being 1
bicycle 1
book 2
both 1
brews 1
by 1
cave 2
characters 1
conversation 2
creating 1
de 5
decades 1
destroy 1
drafted 1
dublin 1
earlier 1
eccentric 1
elements 1
escape 1
exploits 1
features 1
few 1
fight 1
find 1
for 2
forging 1
frlarchiviste 1
from 2
hackett 1
had 1
hand 1
has 1
have 2
he 4
held 1
himself 1
his 2
hours 1
in 5
inventions 1
invents 1
it 1
james 2
joyce 2
just 1
kind 1
latter 1
leads 1
machine 1
mad 2
magical 1
main 1
many 3
mick 1
much 1
not 1
novel 3
obituary 1
obrien 1
of 4
on 1
other 1
own 1
oxygen 1
particularly 1
parts 1
pints 1
policeman 1
policemen 1
posthumously 1
prominent 1
pub 1
published 1
publisher 1
relativity 1
removing 1
saint 2
scientist 2
second 1
selby 4
serving 1
small 1
speaking 1
strange 1
taken 1
that 1
the 17
theory 2
third 1
this 1
time 1
to 7
travelling 1
tries 1
two 1
underwater 1
uses 1
war 1
was 2
were 1
which 1
whiskey 1
who 1
with 1
witness 1
world 2
