14838709
/m/03gzr2x
/m/03gzr2x
Ally Kennen
2007-05-07
15yearold 1
a 7
absence 1
acquitted 1
actually 1
all 1
allegedly 1
america 1
an 1
and 4
any 1
are 1
as 2
back 1
be 1
because 2
before 1
bill 1
but 3
by 1
called 1
chas 5
cool 1
crazy 1
death 1
england 2
evolved 1
fascinated 1
for 1
friend 1
friends 1
from 3
fun 2
game 2
gets 1
goal 1
had 1
have 1
he 6
his 3
home 1
idea 1
impersonates 1
in 4
into 1
is 6
isnt 1
it 2
just 1
killed 1
killer 1
land 1
late 1
lenny 4
letters 1
man 2
mother 1
nearly 1
nightmare 1
not 1
of 4
old 1
on 1
only 1
pay 1
penfriend 1
prison 2
proof 1
realize 1
released 1
risking 1
row 1
started 1
steals 1
still 1
teenager 1
teenagers 1
that 4
the 7
they 1
this 1
to 4
told 1
too 1
town 1
truck 1
usa 1
vengeance 1
wants 1
was 2
way 1
what 1
when 1
which 1
who 1
with 1
wouldnt 1
writes 2
