8705710
/m/027fnnk
/m/027fnnk
Mary Hays
1796
a 6
accept 1
accepts 1
accident 1
admirer 1
adopts 1
after 2
again 1
already 1
although 1
an 1
and 4
appearance 1
as 2
augustus 3
be 1
beloved 1
but 1
by 1
ceases 1
children 1
circumstances 1
commits 1
consists 1
courtney 1
daughter 1
deeply 1
despite 1
devotes 1
dies 1
eldest 1
emma 6
encounter 1
end 1
eventually 1
facing 1
fails 1
financial 1
first 1
for 1
from 1
hardship 1
harley 5
he 2
her 5
heroine 1
herself 2
him 1
his 1
in 2
income 1
initially 1
is 4
leaves 1
letters 1
life 1
lives 1
long 1
love 2
maid 1
marriage 1
married 1
marrying 1
meet 1
montague 2
mr 1
near 1
never 1
novel 2
of 8
only 1
passion 1
philosophical 1
pregnant 1
pursuit 1
refuses 1
remains 1
results 1
revealed 1
secure 1
security 1
series 2
sexual 1
she 1
son 1
suicide 1
the 7
to 4
tragedies 1
two 1
under 1
unfortunate 1
unmarried 1
when 1
whom 1
will 1
with 2
