22932306
/m/063z622
/m/063z622
Jennifer Allison
2007-08
a 2
an 1
are 3
as 1
bedrooms 1
believe 1
believes 1
best 1
but 1
can 1
cards 1
choy 1
competition 1
embarks 1
england 1
even 1
excited 1
father 1
finds 1
for 1
friend 1
gets 2
ghost 1
ghosts 1
gilda 5
gives 1
go 1
guests 1
haunting 2
hauntings 1
her 1
in 2
investigator 1
is 2
late 1
more 1
mysterious 1
official 1
on 1
out 1
oxford 3
page 1
piano 1
placed 1
problem 1
psychic 1
reason 1
selfproclaimed 1
she 4
solve 1
speak 1
tarot 1
that 3
the 3
them 1
there 2
thinks 1
this 2
to 4
tries 1
trip 1
turner 1
wendy 2
when 2
which 1
who 1
why 1
with 2
