2636680
/m/07tdzc
/m/07tdzc
Laura Adams Armer
1931
{"/m/0dwly": "Children's literature"}
120s 1
a 3
accomplish 1
all 1
ancestors 1
ancient 1
and 3
arduous 1
arizona 1
become 1
brother 1
ceremonies 1
climbing 1
culture 1
customs 1
far 1
follow 1
footsteps 1
he 1
him 1
his 4
in 5
includes 1
indian 1
journey 1
learn 1
legends 1
living 1
man 1
medicine 1
mountain 1
must 1
navajo 1
nearby 1
numerous 1
ocean 1
of 5
pacific 1
participating 1
relates 1
several 1
songs 1
task 1
the 6
their 1
this 2
throughout 1
to 5
traditional 1
training 2
uncle 2
undergo 1
waterless 1
west 1
wishes 1
years 1
younger 1
