9366759
/m/02863v2
/m/02863v2
Geraldine Brooks
2001-08-06
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
103d 1
128th 1
24 1
3 1
a 56
abandoned 1
abed 1
able 1
about 1
absolutely 1
abusive 1
accepting 1
accepts 2
accident 1
accuses 1
accusing 1
action 1
acute 1
addressed 1
addressing 1
adulterine 1
advice 1
advises 1
after 9
again 1
against 1
age 2
agreed 1
agreement 1
agrees 1
aid 3
aisha 1
alandalus 1
all 5
allow 2
already 2
also 1
an 8
and 111
anger 1
animals 1
anna 27
another 2
answers 1
any 1
anyone 1
anys 2
aphra 9
appears 1
apprenticed 1
arabs 1
are 3
argues 1
arrival 2
arrived 1
arrives 1
art 1
as 24
ask 1
asked 2
asks 5
assistance 1
assure 1
assured 2
at 14
atoned 1
attempt 2
attempted 1
attempting 2
attempts 1
avicenna 1
avoid 3
awakens 1
away 3
baby 8
bade 1
bakewell 1
barmote 1
barren 1
barrenness 1
bastard 1
be 16
bedding 1
bedstraw 1
been 5
before 5
begin 2
begins 2
begs 1
being 4
belongings 1
bible 1
birth 3
births 2
blamed 1
blames 1
boarder 1
boards 1
body 1
bonfire 1
bont 1
book 1
born 2
bound 1
box 1
bradford 13
bradfords 2
branks 1
breaths 1
breech 1
briefly 1
bring 2
brings 1
brother 2
brought 4
bubonic 1
build 1
burial 1
buried 1
burn 2
bury 1
but 20
by 24
cairn 1
call 1
can 2
canterbury 1
care 2
carrack 1
carry 1
carrying 1
cast 1
catatonic 1
causes 1
ceases 1
celebration 1
charms 1
chatsworth 2
child 9
children 2
choose 3
christian 1
church 1
churchyard 1
circumstances 2
city 1
claim 1
cleansing 1
clients 1
close 1
closer 1
closes 1
collapses 1
colours 1
come 2
comes 2
comforted 1
comments 1
commits 1
community 1
complete 1
completely 3
comply 1
conceived 1
concludes 1
confess 1
confesses 2
confinements 1
confronts 1
confusion 1
connections 1
consecration 1
consort 1
consults 1
consumed 1
consummation 2
contagion 1
contents 2
continue 1
cope 1
cottage 1
counsel 1
course 1
court 1
courted 1
cries 1
croft 1
crowded 1
cuckolded 1
curse 1
custom 2
customs 1
dagger 1
daughter 3
daughters 1
day 4
days 5
dead 3
dealing 1
death 7
deaths 1
decides 1
decision 1
delayed 1
delaying 1
delirious 1
delivers 1
demanded 1
dependent 1
deranged 1
derbyshire 1
descends 1
