3199312
/m/08yrzh
/m/08yrzh
Alastair Reynolds
2005-10-27
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 17
able 1
accelerating 1
actions 1
advanced 1
advancement 1
after 1
age 1
alien 4
aliens 1
along 1
an 3
and 18
angering 1
another 2
apart 2
apparent 1
approach 1
are 4
around 1
arrival 1
arrive 2
as 4
asked 1
assistance 1
at 4
attempt 1
awakens 1
back 4
barseghian 1
be 3
becomes 1
been 1
before 2
begins 1
being 1
believed 1
bella 10
benevolent 1
beyond 1
binary 1
body 2
brain 1
brought 1
but 3
by 5
called 2
camouflaged 1
cannot 1
capable 1
capacity 1
captain 1
catching 1
caught 1
causing 1
center 1
ceremony 1
chain 1
chance 1
chooses 1
chronology 1
close 1
closest 1
coexist 1
colonists 1
colony 8
cometary 1
conditions 1
congress 1
consider 1
constellation 1
control 2
core 2
created 1
crew 2
damage 1
dangerous 1
days 1
decades 2
decide 2
decides 1
deemed 1
deriving 1
destroys 1
determine 1
deviated 1
dies 1
distant 1
does 1
dogs 2
dramatically 1
drilling 1
drive 1
during 1
early 1
earth 2
effort 1
eke 1
elected 1
elsewhere 1
encounter 1
energy 1
established 1
evacuate 1
evacuating 1
evacuation 1
even 1
events 1
eventually 3
everyone 1
exchange 1
exile 1
exiles 1
existence 1
expansion 1
expected 1
explain 1
explained 1
exploration 1
explosion 1
faster 1
field 1
find 1
flight 1
for 7
forced 1
form 1
fountainheads 7
friend 1
from 4
fuel 1
further 1
future 2
gap 1
gather 1
get 1
go 1
has 2
heading 1
heal 1
healing 1
her 7
hisher 1
honour 1
however 1
human 3
humanity 1
humans 2
ice 2
if 1
improve 1
improves 1
in 7
inertialess 1
infect 1
information 1
informed 1
injuries 1
is 14
it 5
its 2
janus 7
land 1
landing 1
lands 1
leads 1
learn 1
leaves 1
life 2
limitations 1
lind 4
lindblad 1
living 1
loses 1
losing 1
main 1
make 1
making 1
manned 1
many 1
may 1
meet 1
meets 1
megastructure 1
mining 1
missing 1
mission 1
moon 4
more 1
moving 1
much 1
musk 2
mutiny 1
new 1
nonetheless 1
normal 1
not 1
novel 1
of 26
off 1
on 6
one 1
only 2
orbit 1
others 1
out 4
pair 1
part 2
patient 1
personality 1
pictures 1
planetary 1
played 1
point 1
poorly 1
possible 1
power 1
predicament 1
presence 1
pursuing 1
pushed 1
pushes 1
pushing 1
quarters 1
race 2
realising 1
regain 1
rejuvenate 1
rejuvenated 1
rejuvenation 1
remains 1
repulsive 1
requires 1
resource 1
responsible 1
restore 1
restriction 1
return 2
reveal 1
revealed 1
rights 1
ring 1
rockhopper 2
role 1
routine 1
rulers 1
saturn 1
selfexile 1
sending 1
set 2
several 2
she 3
ship 6
situation 1
size 1
slowly 2
solar 3
some 1
space 1
spacecraft 2
species 1
spica 1
spicans 1
standards 1
start 1
stasis 1
still 2
structure 5
subordinate 1
suitable 1
supplies 1
survive 1
svetlana 6
system 4
take 1
task 1
tear 1
technological 1
technology 2
territorial 1
than 1
that 9
the 62
their 4
them 4
themselves 1
then 2
there 1
they 8
those 1
through 2
to 31
too 1
torus 1
towards 1
traces 1
trades 1
trading 1
travel 1
tries 1
try 1
turn 2
turning 1
undergo 1
undertake 1
up 1
used 1
vast 2
virgo 1
waiting 1
warn 1
way 1
when 1
where 3
wherever 1
while 2
who 2
whose 1
why 1
will 1
with 7
without 1
woman 1
work 1
years 1
younger 2
