3485468
/m/09g0nk
/m/09g0nk
Henry James

{"/m/05hgj": "Novel"}
a 4
about 1
against 1
also 1
american 1
an 1
and 2
another 1
argues 1
art 2
be 1
beautiful 1
been 1
bender 2
billionaire 1
breckinridge 2
britain 1
bumptious 1
but 1
by 3
called 1
collection 1
completely 1
correct 1
country 1
cover 1
crimble 3
critic 1
daughter 2
debts 1
decides 1
delights 1
donate 1
donates 1
duchess 1
eventually 1
family 1
fictitious 1
forever 1
found 1
friend 1
gallery 2
gambling 1
get 1
goodhumored 1
grace 1
had 1
has 1
he 2
her 2
his 3
hugh 1
hunch 1
imber 1
in 2
is 3
it 1
james 1
joshua 1
kitty 1
lady 2
lawrence 1
lord 1
mantovano 4
meanwhile 1
name 1
national 1
newspapers 1
not 1
obscure 1
of 4
out 2
painter 1
painting 3
patriotic 1
perceptive 1
planning 1
potential 1
raise 1
rarity 1
really 1
reynolds 3
sale 2
sandgate 1
saying 1
sell 2
should 1
sir 2
stay 1
stink 1
supported 1
suspects 1
that 2
the 13
theign 5
there 1
they 1
this 1
thomas 1
thought 1
to 9
treasures 1
turned 1
turns 1
unites 1
was 1
waterbridge 1
when 1
which 2
widowed 1
wind 1
woman 1
young 1
