7323501
/m/025z56b
/m/025z56b
Andrew Greig
1999
a 2
allen 1
and 4
antique 1
around 1
back 1
ballads 1
barbara 1
based 1
border 1
borders 1
brings 1
came 1
child 1
come 1
corbies 1
cottage 2
crawhill 2
daughter 1
davy 1
depicting 1
deserted 1
did 1
doing 1
elliot 1
estate 1
fears 1
for 1
had 3
he 1
hell 1
her 2
him 1
his 1
if 2
in 2
instead 1
into 2
is 2
it 2
lassie 1
mistress 1
moves 1
moving 1
mysterious 1
not 1
novel 1
of 3
on 1
plates 1
residence 1
scottish 1
see 1
set 1
she 6
sim 1
simon 1
sir 1
taken 1
that 1
the 10
to 1
twa 1
up 1
waited 1
want 1
was 3
wasnt 1
what 3
who 1
why 1
with 2
woman 2
wondered 1
young 2
