4692828
/m/0chmtq
/m/0chmtq
Chris Boucher

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 36
abandoned 1
able 2
about 3
accidentally 1
across 1
act 1
activates 1
advances 1
advice 1
advise 1
after 1
again 1
against 1
agent 1
aggressive 1
ahead 1
air 1
all 2
alone 1
also 4
although 1
amplifying 1
an 6
and 60
another 1
apart 1
aquatic 1
are 12
arenas 1
army 2
around 3
arrival 1
arrives 2
arriving 1
artificial 1
as 7
asks 1
assume 1
at 1
attack 1
attacked 3
attacks 3
attention 2
awakens 1
away 3
awoke 1
back 6
baggage 1
battle 2
be 1
been 7
before 5
begins 1
behind 1
being 2
belay 4
beneath 1
between 4
bird 1
birdlouse 1
blocking 1
blown 1
bomb 1
bombs 1
both 1
boundary 1
breed 1
briefed 1
bringing 1
brought 1
budget 1
budgetary 1
but 18
buzzing 1
by 20
call 2
can 4
cant 1
carry 1
cause 1
centre 4
challenge 1
channel 1
circling 1
citizens 1
claims 2
climb 2
clone 6
clones 7
combat 1
come 1
commander 1
complex 1
component 1
concede 1
confirming 1
confront 2
confronted 1
confused 1
console 2
conspiracy 2
continues 1
control 3
controls 1
convince 1
convinced 1
copy 1
corridor 1
crash 1
creature 1
crippling 1
crush 1
cubicle 1
cubicles 2
cutting 1
darkness 2
death 1
decision 1
defeat 1
defend 1
defenses 1
demands 1
deputy 1
despite 1
destruction 1
development 1
director 1
discarded 1
discuss 1
dismissed 1
disoriented 1
distilled 1
distraction 1
distress 2
divert 1
doctor 31
doesnt 1
domination 1
doors 1
down 5
drain 2
drawing 1
drawn 2
drew 4
duel 1
duelling 1
during 1
easily 1
elicit 1
else 1
emerge 2
emerges 1
empire 1
enables 1
engineered 1
ensuing 1
entire 1
environments 1
equipment 1
escape 3
even 1
everything 1
expedition 1
experiences 1
experiments 1
explains 1
extinct 1
extra 1
facility 7
false 2
fed 1
feedback 1
feerlenator 1
feet 1
fellow 1
fermindor 4
fetch 1
field 3
fight 2
fights 2
finally 1
find 6
finds 5
first 3
firster 1
flees 1
flight 1
flying 1
follow 3
follows 1
fooled 1
foolishly 1
for 6
force 3
forced 3
forcefield 3
forest 2
forthcoming 1
four 1
freed 1
friends 1
from 20
fully 2
generate 2
generates 1
giant 1
go 1
going 1
ground 2
group 8
guiding 1
gun 1
gunned 1
guns 2
had 1
handle 1
handtohand 1
happening 2
happens 1
has 5
have 5
having 1
he 12
head 1
hears 1
help 1
her 12
here 1
hiding 1
him 3
himself 6
his 7
home 2
homeworld 1
honing 1
hostile 1
how 1
humanoid 1
hunting 2
hypnotic 2
idea 1
identity 1
ignored 1
illegally 1
illusions 1
imperfect 1
impossibly 1
in 18
information 2
insane 1
insect 1
inside 2
instantly 4
instead 1
instincts 1
intelligence 1
intends 1
interdicted 1
into 4
investigate 1
