184843
/m/0197qv
/m/0197qv
William Shakespeare


3rd 1
a 11
accompanied 1
actions 1
additionally 1
advantageous 1
advises 1
after 3
against 1
agreeing 1
agrees 2
alienating 1
aligning 1
all 1
allegiance 1
already 1
also 1
amazed 1
an 2
and 40
anjou 1
another 1
any 1
apparent 1
approaches 2
arc 1
are 5
army 6
around 1
arrived 1
arrives 2
as 7
aside 1
ask 1
assumes 1
at 6
attack 2
attain 1
attempts 1
back 4
background 1
bastard 1
battle 2
be 2
beauty 1
bedford 5
been 3
begins 1
betrayal 1
between 3
birthright 1
blaming 1
bolingbroke 1
bordeaux 1
both 2
breaking 1
bring 1
brothers 1
burgundy 2
burned 1
but 8
by 5
capable 1
captured 3
causing 1
cavalry 1
challenges 1
charge 1
charles 5
chooses 1
city 4
claims 1
combat 1
command 5
conflict 3
conisburgh 1
constable 1
coronation 1
country 1
court 1
critical 1
crowned 1
date 1
dauphin 2
defeat 1
description 1
desert 1
destroyed 1
determines 1
died 1
dies 3
direct 1
dominate 1
doubt 1
duke 4
dukedom 1
dukes 1
earl 1
edmund 1
effort 1
either 1
emperor 1
engineer 1
england 5
english 7
eugenius 1
executed 1
exeter 3
expanded 1
expelling 1
express 1
family 4
familyhow 1
father 1
fellow 1
fighting 1
flee 1
foothold 1
for 7
forces 2
forcing 1
forthcoming 1
france 7
french 7
from 2
funeral 1
future 1
gain 1
gaining 1
gloucester 5
goes 1
guess 1
had 2
hand 1
has 4
have 3
he 9
head 1
heads 1
heir 3
helped 1
henry 17
her 6
him 4
himself 3
his 14
history 1
hold 1
holy 1
horrified 1
hours 1
how 2
ie 1
ii 1
immediately 3
implications 1
imprisoned 1
in 15
indicate 1
infantry 1
inside 1
intends 1
intention 1
into 1
involve 1
is 9
its 1
iv 1
joan 5
join 1
killed 1
king 3
knows 1
la 1
lament 1
lands 1
later 1
launches 1
laying 1
leaders 1
leads 1
learning 1
leaves 1
led 1
listen 1
london 1
lord 1
lords 1
lose 1
loss 1
lost 1
major 1
making 1
margaret 5
marriage 2
marry 2
matter 1
may 1
meanwhile 4
military 1
mixup 1
momentum 1
monies 1
mortimer 4
negotiates 1
neither 1
newly 1
nobles 1
not 4
oath 1
of 34
on 3
one 2
only 1
or 1
orlans 2
other 1
out 1
outside 1
paris 1
passing 1
peace 2
persuade 1
persuades 1
petition 1
petty 1
places 2
plantagenet 2
play 1
pleads 1
pledge 1
ponders 1
pope 1
position 1
power 1
powerful 1
prepare 1
prepares 1
presents 1
prime 1
princess 1
prior 1
proposal 1
pucelle 1
put 1
quarrel 1
realising 1
rebellion 1
recently 1
red 2
reinforcements 1
reinstate 1
release 1
reluctantly 1
remains 1
resolve 1
restored 1
retake 1
returning 1
revelations 1
rich 1
richard 19
rightful 1
roman 1
rose 1
roses 1
rouen 2
running 1
same 1
second 1
secure 1
see 1
seen 1
seize 1
select 1
send 1
sends 2
setbacks 1
sets 1
several 1
she 2
shoved 1
side 1
sides 1
siege 1
sigismund 1
single 1
sneak 1
somerset 8
son 2
speak 1
stake 1
stripped 1
subsequently 1
such 2
sues 1
suffolk 3
summons 1
swing 1
switch 1
symbolically 1
take 1
taken 1
talbot 8
tells 4
terms 1
test 1
that 2
the 65
their 4
them 3
then 7
these 1
they 2
throne 1
through 1
time 2
times 1
title 1
to 41
tower 1
towns 1
trap 1
travelling 1
true 1
tumultuous 1
unaware 1
uncle 2
uncrowned 1
under 1
unexpectedly 1
upon 2
urged 1
v 2
vi 1
viceroy 1
victory 1
visions 2
vows 1
walls 1
were 1
what 1
when 1
whether 1
which 2
white 1
who 5
whole 1
will 1
win 1
winchester 1
with 5
within 2
woman 2
word 2
worry 1
worryingly 1
yet 1
york 1
young 3
