324904
/m/01w0fm
/m/01w0fm
William Shakespeare


a 22
abbess 4
abbey 1
able 1
about 2
accept 1
accosted 1
adriana 12
after 3
afterwards 1
again 1
against 1
all 2
almost 1
also 1
america 2
an 1
and 27
angelo 3
announces 2
another 1
antipholus 21
any 1
appears 1
apprehended 1
are 4
armadoes 1
arrested 2
arrives 2
as 7
ask 1
asking 1
asks 2
aspect 1
at 4
attempt 1
attentions 1
attracted 1
attribute 1
away 1
back 2
bail 2
ballast 1
be 3
beat 1
beating 1
beats 1
before 1
begins 2
begs 2
being 1
believes 1
believing 1
bind 1
birth 1
boat 1
body 1
bogs 1
bonds 2
both 1
bound 1
boys 1
break 1
breath 1
broken 1
brother 1
brothers 1
but 5
buttocks 1
by 10
can 2
cannot 1
caracks 1
carbuncles 1
carrying 1
celebrate 1
centaur 1
chain 4
children 1
city 1
claims 2
come 1
complains 1
completing 1
concerned 1
confirmation 1
confounded 1
confused 1
conjurer 1
could 2
countries 2
courtesan 4
day 4
decide 1
decides 1
declining 1
delivers 1
denies 2
deny 2
denying 1
deposit 1
describes 1
did 1
dine 1
dinner 3
discovered 3
discovers 1
dispatches 2
doctor 1
door 1
down 1
dromio 15
drown 1
due 1
duke 6
eat 1
egeon 11
elderly 1
embellished 1
emilia 1
enraged 1
enter 4
enters 1
entry 1
ephesians 5
ephesus 11
errand 1
escape 1
escaping 1
even 1
events 2
ever 2
everybody 1
everyone 1
exchange 1
execution 2
exit 1
exits 1
exorcise 1
eye 1
faces 1
family 2
fear 1
few 1
find 3
fine 2
first 1
flattered 1
flee 1
flood 1
for 10
forbidding 1
force 1
forced 1
found 2
friends 1
from 4
gate 2
gave 1
get 1
globe 1
go 1
gold 1
goldsmith 1
grants 1
grown 1
had 1
has 4
have 2
having 2
he 23
henchmen 1
her 16
hideous 1
him 13
himself 1
his 20
hit 1
home 2
hot 1
house 6
husband 4
i 5
identical 1
identified 1
identify 1
immediately 1
implications 1
in 10
indies 1
infuriated 1
inn 1
insane 1
inside 1
instead 1
insubordinate 1
into 1
ireland 1
is 23
it 3
joke 1
jokes 1
jokingly 1
justice 1
keep 1
keeping 1
kitchenmaid 1
know 1
knowledge 1
known 1
lashed 1
law 1
leading 1
leave 2
led 1
left 1
like 1
locking 1
loose 1
luciana 2
made 1
mainmast 1
make 2
making 2
marks 1
married 1
mart 1
me 2
meets 1
merchants 1
mermaid 1
messenger 1
mistakenly 1
mistress 1
money 4
moral 1
moved 1
named 1
nations 1
nearby 1
nell 1
never 1
news 1
nose 2
not 7
note 1
now 2
oer 1
of 33
off 3
on 3
one 5
only 2
or 1
ordered 1
out 5
own 2
pardons 1
parts 1
pay 1
paying 1
payment 1
persuade 1
pinch 2
plans 1
poor 1
porpentine 1
possible 1
presence 1
pretended 1
priory 1
promised 1
promptly 1
protects 1
purchase 1
purchased 1
quest 1
ready 1
reappears 1
recently 1
references 1
refused 2
reimbursed 1
release 1
remarking 1
rescued 1
resolutely 1
resolves 1
respectively 1
return 2
returns 3
reunification 1
reunited 1
reveals 1
rich 1
rope 2
rubies 1
rudely 1
runs 3
rushes 1
sad 1
same 2
sanctuary 1
sapphires 1
saw 1
saying 1
says 2
scene 1
sea 1
search 1
searching 1
seeing 1
seen 1
sends 1
sent 2
servant 1
set 1
sets 1
shakespeare 1
she 3
since 1
sister 2
slave 2
slaves 1
so 1
solinus 1
some 1
somehow 1
son 3
sons 3
soon 2
spain 1
speak 1
spherical 1
spies 1
story 2
strange 2
straying 1
suddenly 2
suspicions 1
sweet 1
swords 1
syracusan 1
syracusans 5
syracuse 13
syracusian 2
taen 1
take 1
taken 1
takes 1
tears 1
tell 1
telling 1
tells 2
tempest 1
that 15
the 53
their 6
them 1
then 2
these 2
they 2
thinking 1
this 6
thought 1
thousand 1
thy 2
to 49
tortured 1
trader 1
train 1
travel 1
tries 1
twin 2
twins 2
two 1
understand 1
up 2
upon 1
vengeance 1
very 1
voyage 1
waiting 1
warren 1
was 2
way 1
wearing 1
when 3
where 2
whereupon 1
which 1
while 1
who 10
whole 1
wife 8
will 2
witchcraft 1
witches 1
with 13
witty 1
woman 2
worried 1
you 1
youth 1
