23899393
/m/076w0nx
/m/076w0nx
John Banville
2009-09-04
{"/m/0mz2": "Alternate history", "/m/05hgj": "Novel"}
a 2
adam 2
adams 1
along 1
alternative 1
an 1
and 4
are 2
as 1
at 1
book 2
by 2
cold 1
coma 1
consisting 1
daughter 1
deathbed 1
dictates 1
family 3
father 1
fusion 1
god 1
godley 1
helen 1
hermes 1
his 7
how 1
in 3
involves 1
is 1
lies 1
maia 1
mother 1
narrated 1
of 2
on 1
patriarch 1
petra 1
place 1
powered 1
present 1
reality 1
reunion 2
son 1
steam 1
still 1
story 2
takes 1
the 8
this 1
trains 1
unfold 1
ursula 1
use 1
who 1
wife 2
will 1
with 2
world 1
zeus 1
