16711341
/m/0403xyn
/m/0403xyn
René Goscinny
1975
a 3
also 1
and 1
announces 1
as 1
be 1
brothers 1
but 1
by 1
can 1
chooses 1
crime 1
cured 1
dalton 1
daltons 1
decides 1
delicate 1
doc 1
does 1
experiences 1
experiment 1
exploits 1
fail 1
famed 1
he 1
his 1
in 1
inefficiency 1
is 2
it 1
lucky 1
luke 1
major 1
more 1
not 1
once 1
only 1
participate 1
personal 1
psychologicallybased 1
psychologist 1
remedy 1
situation 1
spectacularly 1
story 1
subjects 1
test 1
that 1
the 5
therapy 1
this 1
to 3
twist 1
up 1
which 1
