435372
/m/02860n
/m/02860n
Iris Murdoch

100 1
10s 1
201 1
30 1
50 1
600 1
633 1
700 1
a 54
about 2
accompanied 1
accosts 1
action 1
activist 1
admirer 1
admitted 1
after 7
ago 1
all 6
allows 1
alsatian 1
although 1
always 1
amazed 2
an 7
ancient 1
and 47
anger 1
angry 1
anna 8
announce 1
approaching 1
are 7
arms 2
arrival 1
arrive 2
arrived 1
arriving 1
article 1
as 7
ask 2
asking 1
asks 3
at 10
attempts 1
attention 1
attracts 1
away 3
back 8
barefoot 1
bars 1
basis 1
bastille 1
be 1
bearing 1
because 1
been 4
begin 1
beginning 1
begins 1
being 4
belatedly 1
belfounder 2
believed 1
bench 1
besotted 1
bet 2
betrayal 1
between 1
blackmail 2
bois 2
book 2
bookmaker 2
bookshelfdid 1
bounty 1
breaks 1
breteuil 3
brick 1
brief 1
briefly 1
broken 1
but 16
buy 1
by 9
cage 2
call 1
called 1
calls 1
cancelled 1
cannot 3
career 1
carry 1
carrying 2
catches 1
catechism 1
catfilled 1
cause 1
causes 1
chance 1
check 1
chelsea 1
cheque 3
city 1
coldcure 1
collapse 1
come 1
contents 1
conversation 4
copy 2
corner 1
corrupt 1
course 1
crawl 1
creation 1
crowd 2
dave 9
day 1
days 1
daze 1
de 2
dead 1
decide 2
decides 3
deduce 1
deliberately 1
delivered 1
demand 1
demands 1
despair 1
destroyed 1
devastated 1
diamond 1
difficulty 1
disappeared 1
discouraged 1
discover 1
discovery 1
discussion 1
discussions 1
dismay 1
dismissed 1
dismissive 1
distant 1
distaste 1
do 2
does 1
dog 3
donaghue 1
done 1
door 2
down 1
drafting 1
drags 1
drunk 1
eavesdropping 1
eighteen 1
envious 1
escape 2
evade 1
even 1
evening 1
eventually 1
everything 1
expected 1
expenses 1
experiment 1
explain 1
explosives 1
face 1
fell 1
fellow 1
felt 1
fetch 1
fight 1
figure 1
file 1
film 4
filmstar 2
financially 1
find 6
finds 5
finn 7
fireworks 2
first 1
