33126545
/m/0h63n0v
/m/0h63n0v
John Grisham
2011-10-25
15 1
18 1
2 1
25 1
65 1
a 27
able 1
about 1
accident 1
action 2
actions 1
added 1
additional 1
additionally 1
advertises 1
after 5
against 4
agree 1
alcoholic 1
alisandros 4
also 1
although 3
an 7
and 27
another 1
any 1
appear 1
approach 1
are 2
argued 1
as 9
associate 2
at 4
attacks 1
attempted 4
attempts 1
attorney 4
attorneyatlaw 1
automobile 1
avails 1
avalanche 1
away 1
awol 1
bar 1
be 4
became 1
become 2
being 1
believe 1
believing 1
benign 1
bickering 1
big 1
billionyear 1
bingo 1
blossoming 1
bonds 1
boon 1
bottle 1
boyfriend 1
brain 1
break 2
brings 1
burmese 1
burned 1
by 6
called 1
can 3
cards 1
case 12
cases 2
cash 1
ceo 2
chain 1
changes 1
character 1
checks 1
chester 1
chicago 3
childish 1
children 1
cholesterol 1
chosen 1
claim 2
claimant 1
claimants 2
claims 4
class 1
clients 5
clinical 1
coattails 1
cocounsel 1
coerce 1
commenced 1
communications 1
complications 1
continued 1
convenient 1
convictee 1
costs 1
could 1
court 1
crossexamination 1
crossexamine 1
customer 1
customers 1
damage 1
david 5
day 4
dealing 1
death 1
debilitating 1
declined 1
deeanna 1
defendant 1
defending 1
defense 2
depicts 1
despite 1
did 1
discredited 2
dismiss 1
dissolved 1
divorc 1
divorce 3
divorces 2
do 2
docket 1
dollar 1
dollars 1
down 4
downandout 1
drug 1
dui 2
during 3
e 1
earn 1
effects 1
eight 1
employer 1
empty 1
enormous 1
equal 1
estate 1
ethics 1
eventual 1
eventually 3
example 1
excessive 1
expedited 1
expends 1
expert 2
expertise 2
extremely 1
fact 1
failed 1
far 1
father 1
federal 3
fees 2
fenderbenders 1
few 1
ff 4
figg 19
filing 1
final 1
find 2
finding 1
finley 19
firm 10
firms 2
first 3
flew 1
flies 1
florida 1
focuses 1
fold 1
followed 1
food 1
for 16
force 1
former 4
formerly 1
found 1
fourtime 1
frivolous 1
from 1
funeral 2
futile 1
generally 1
generate 1
get 1
giant 1
gibson 1
grad 1
granted 1
grisham 1
guilty 1
had 2
handful 1
harry 2
harvard 1
has 1
have 2
having 2
he 10
heart 1
her 6
him 3
himself 2
his 8
holds 2
home 1
hot 1
however 1
if 2
immigrants 2
in 12
including 1
individual 1
induced 1
infarction 1
initiated 1
instructed 1
interest 2
interesting 1
interests 2
into 3
involving 1
is 7
it 4
its 1
itself 1
jerry 2
judge 2
judgment 1
junior 2
jurisdiction 1
jury 4
karros 8
killed 1
kind 1
krayoxx 6
labor 2
labs 1
large 1
las 1
later 1
law 3
lawsuit 2
lawyer 1
lawyers 1
lazy 1
lead 3
leading 3
learns 1
led 1
leg 1
legal 2
letters 1
liability 2
life 1
light 1
likelysuccessful 1
listed 1
litigator 1
longterm 1
looms 1
love 2
lyle 2
make 2
makes 1
malpractice 2
marino 2
marriage 1
married 1
mass 6
massey 2
media 1
meet 2
meets 1
million 4
mistrial 1
months 1
most 1
motion 3
motioned 1
motions 3
moved 1
much 1
myocardial 1
nadine 2
name 1
nearing 1
need 1
new 2
next 1
none 1
nonetheless 1
not 3
notably 1
notices 1
notifying 1
novel 1
nowhere 1
number 1
nuxhall 1
obese 1
obituaries 1
occasional 1
occur 1
odds 1
of 19
office 1
officer 1
often 1
old 1
on 5
once 2
one 2
opened 1
opening 1
operation 1
operator 1
operators 1
opportunity 1
originally 1
oscar 9
other 1
out 3
own 2
paid 1
parlors 1
part 3
partner 3
partners 2
partnership 1
passed 1
patients 3
paula 2
payday 1
pending 1
person 1
pharmaceutical 1
picture 1
pint 1
pitted 1
poisoning 2
police 1
popular 1
practice 1
preponderance 1
prescription 1
presents 1
pressed 1
previously 1
proclaiming 1
produced 1
product 2
prominent 1
promised 1
proper 1
prototypical 1
provides 1
publicity 1
pursue 1
questionable 1
quick 1
quickie 1
realizes 1
realizing 1
really 1
recovering 1
recruited 1
reduction 1
regarding 1
relegates 1
rendered 1
repeat 1
represent 1
representing 1
reputation 1
resources 1
results 1
retirement 1
rochelle 2
rogan 1
rothberg 1
routine 1
rueben 2
sanctions 1
scheduled 1
seat 1
seated 1
seawright 3
second 2
secretary 1
see 1
seems 1
senior 1
separated 1
service 2
settled 1
settlement 4
several 1
shattered 1
she 1
shot 3
sickrooms 1
side 1
sign 2
simple 2
singled 1
situation 1
slipandfalls 1
small 1
smalltime 1
smirnoff 1
so 3
some 2
son 1
soon 1
south 1
spent 1
statements 1
states 1
stood 1
story 2
stumbled 1
stumbles 1
succeeds 1
successful 2
sued 2
suffered 1
summary 1
supposed 1
takes 1
talks 1
testimony 1
tests 1
that 14
the 51
their 5
them 2
themselves 1
they 4
this 2
three 1
ties 1
time 1
to 36
together 2
tongue 1
took 1
tort 5
trial 2
trials 1
tribune 1
tries 1
trolls 1
turned 1
twelve 1
twentyplusyearold 1
unhappily 1
united 1
unnecessary 1
up 2
upon 2
upside 1
valid 1
varrick 10
vegas 1
verdict 1
very 1
veteran 1
vociferously 1
vodka 1
wally 13
was 14
way 1
were 2
western 1
when 3
where 1
whetting 1
which 2
while 1
who 6
whose 2
wife 2
with 11
withdraw 2
withdrawing 1
withdrawn 1
withdraws 1
without 1
witness 1
witnesses 1
work 1
working 1
works 1
would 1
yield 1
young 2
zinc 10
