6132795
/m/0frx8l
/m/0frx8l
J. J. Connolly
2000-04-06
{"/m/0lsxr": "Crime Fiction"}
12 2
13 1
17 1
170s 1
25 1
5 1
a 64
abandon 1
able 1
about 8
accepts 1
accomplice 1
accountant 1
acquired 1
across 1
action 1
actually 1
addicts 1
after 6
again 1
against 1
airport 2
aka 1
albeit 1
albie 2
alias 1
all 2
allow 2
almost 1
along 1
also 3
amsterdam 3
an 10
and 82
another 2
april 1
are 9
argument 1
armed 1
arrange 1
arranged 1
arrested 1
arrival 1
arrive 1
arrives 3
arriving 1
as 10
asks 2
assassin 2
assault 1
assets 1
at 12
atkins 1
atmosphere 1
attack 1
attracted 1
awakes 1
away 4
awoke 1
back 8
bar 2
barn 1
be 6
beating 1
beats 2
become 2
been 6
before 3
being 1
believe 1
believed 2
believes 2
believing 1
between 1
billy 1
blonde 1
boatman 1
body 1
bogus 1
bonded 1
boot 1
born 1
borrowed 1
both 2
boxes 2
boyfriend 2
breaks 1
brief 1
brighton 1
britain 1
brutal 1
business 2
but 4
buyer 3
by 7
cafe 2
cake 1
call 2
called 1
can 1
cannabis 1
cannot 1
carter 1
cash 1
caught 2
cause 1
causing 1
characters 1
charges 1
charlie 7
charlotte 3
chechnya 1
childhood 1
chose 1
churchill 2
city 1
clarkie 3
cleanly 1
clever 1
climb 1
club 2
coast 1
cocaine 2
cody 7
coke 1
cokehead 1
colleagues 4
collectively 1
coma 1
come 1
comment 1
complete 1
complies 1
concurrent 1
confiscate 1
confiscated 1
confused 1
consent 1
consignment 1
contact 1
contractor 1
contracts 1
control 1
convince 2
convinced 1
could 5
council 1
country 1
crackheads 2
crazy 1
credibility 1
crew 4
crime 2
crooked 1
cross 1
crowded 1
currently 1
darren 1
daughter 2
day 3
dead 1
deal 1
dealers 1
death 2
decided 1
decides 3
dedicated 1
deeply 1
defeated 1
delivered 1
delivers 1
demanded 1
destroying 1
detail 1
did 1
died 1
dies 1
difficulty 1
dinner 2
disappearance 1
discover 1
discovered 1
discovers 1
discussing 1
dispatches 1
disposing 2
distress 1
do 2
dobermans 1
dodgy 1
does 1
doing 1
don 1
doublecrossed 1
down 2
drives 1
drops 1
drug 1
drugs 5
drunk 1
due 1
duke 4
duncan 3
during 2
eating 1
ecstasy 2
eddie 10
edward 1
eight 1
either 1
eliminate 2
else 1
employee 1
encounters 1
ends 1
england 1
ensnared 1
escape 1
even 1
eventually 1
everything 1
exboyfriend 1
exgangster 1
expects 2
explain 2
explaining 1
explains 3
fact 1
false 1
fancy 1
fastforwards 1
fat 1
fate 1
favour 1
feeds 1
filled 1
finally 1
find 8
finding 2
finds 1
five 1
flat 4
flee 1
flies 3
flown 1
flynn 1
fool 1
for 17
force 1
forgotten 1
found 1
frantically 1
freddie 1
freddy 8
friend 3
friendly 1
friends 1
from 8
fuss 1
gain 1
game 2
gangster 2
gangsters 4
gear 1
gene 14
general 1
germans 1
get 3
gets 1
girl 1
girlfriend 2
give 1
given 1
gives 1
go 3
goes 3
gone 1
got 1
gotten 1
government 1
grand 1
great 1
grounds 1
growing 1
gun 2
gundog 1
had 13
half 1
halfkilo 1
hands 1
happened 1
happy 1
has 14
haunt 1
have 10
having 1
he 33
head 2
heads 1
hear 1
