30763
/m/07kpf
/m/07kpf
Tom Clancy

{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
747 1
a 20
about 1
accepts 1
accident 1
accidentally 1
accidents 1
accompanied 1
accused 1
action 1
actions 1
address 1
admiral 1
advantage 2
advises 1
advisor 1
after 1
against 2
air 1
aircraft 1
airdropped 1
airliners 1
all 3
allowing 1
along 1
also 2
america 4
american 4
an 8
and 21
another 1
ante 1
are 3
army 1
arrested 1
as 6
asia 1
assassinate 1
assault 1
assets 2
at 3
attack 2
attacking 1
attempt 2
awacs 3
b2 1
back 1
ballistic 1
banks 1
barriers 1
be 2
been 1
before 1
begins 1
behindthescenes 1
being 1
believe 1
between 1
bill 1
blind 1
bloodless 1
bloodshed 1
boeing 1
bomb 1
bombers 1
book 1
broken 1
brother 1
bullying 1
business 1
but 1
buy 1
by 8
cabal 2
capability 2
capitol 1
car 2
carriers 3
cause 2
ceding 1
chairman 1
chavez 2
china 1
cia 1
city 1
clark 2
close 1
collapse 1
comanche 1
commercial 1
concede 1
conducted 1
confirmed 1
conflictflies 1
congress 2
controlling 1
coprosperity 1
cornered 1
corporate 1
could 1
countries 1
crash 1
crippling 1
crises 1
crisis 5
current 1
curtail 1
cutting 1
day 2
deal 1
deaths 2
decides 1
defend 1
defended 1
delay 1
deleting 1
deletion 2
depends 1
design 1
despite 1
destroy 1
destroying 1
deterrent 1
developments 1
directly 1
disabled 1
dispersed 1
disruption 1
distracted 1
domingo 1
doover 1
down 1
drastically 1
drugging 1
during 4
durling 4
east 1
eastern 1
economic 5
economy 2
ed 1
elections 1
eliminated 1
eliminates 1
elsewhere 1
embittered 1
enabling 1
ends 1
engineers 2
entire 1
escapes 1
even 1
exchange 1
exercise 1
export 1
faces 1
facing 1
fatal 1
federal 1
few 1
firm 1
first 2
flaws 1
fleet 1
flies 1
focus 1
for 1
force 1
forced 1
forestalled 1
former 3
free 1
from 1
fund 1
gain 1
generous 1
goods 1
government 1
greater 1
grind 1
guam 1
had 1
halt 1
has 2
he 2
hedge 1
helicopters 1
hiring 1
his 6
hope 1
however 1
ignored 1
iinbsp 1
immediate 1
immediately 3
important 1
imports 1
impregnable 1
in 11
incoming 1
india 1
industrialist 1
insert 1
intelligence 1
interest 1
interests 1
international 2
into 4
invasion 2
investment 1
involving 1
is 11
island 1
islands 1
issues 1
it 1
its 1
jack 1
jackson 1
japan 18
japanese 10
john 1
joint 2
just 1
kealty 1
kgb 1
kill 1
land 1
landing 1
large 1
laser 1
launch 1
launches 1
law 1
leads 1
led 1
less 1
liberates 1
line 1
lines 1
little 1
logic 1
longstanding 1
mad 1
mariana 1
marianas 2
market 1
markets 1
mass 2
massive 1
meanwhile 4
member 1
members 1
military 5
minister 2
minor 1
mirror 1
missile 1
moderate 1
moments 1
narrowly 1
nation 1
national 1
nearly 1
negotiation 1
negotiations 1
negotiators 1
network 1
new 2
nominates 1
nontariff 1
nuclear 2
obtained 1
occupy 1
of 26
off 1
offensive 2
offer 1
offering 1
offers 1
officers 1
oligarchs 1
on 3
only 1
operations 1
order 1
other 1
over 1
pacific 3
panic 1
parents 1
passes 1
peace 1
people 1
phase 2
pilotdriven 1
pilots 1
pinned 1
plan 1
planes 1
plots 1
policies 1
political 1
power 2
practices 1
predecessor 1
presence 1
president 5
presidential 2
previous 1
prime 2
programmer 1
project 1
protectionist 1
purchases 1
quickly 1
quo 1
raizo 1
raping 1
reactivate 1
realizes 1
records 2
recruited 1
reduces 1
reestablish 1
replicate 1
rescue 1
resentment 1
reserve 1
resign 1
resigns 1
resources 1
respond 1
responding 1
response 1
rest 1
restored 2
retaliation 1
reveal 1
revelations 1
robby 1
roger 1
ruling 1
ryan 7
saipan 1
saipannbsp 1
second 1
secretly 1
security 1
seemingly 2
selfdefense 1
sending 1
sent 1
series 1
session 1
ships 1
silos 1
site 1
six 1
son 1
special 1
specifically 1
sphere 1
spy 1
staff 1
start 1
state 1
states 1
status 1
stir 1
stock 1
submarines 1
subsequent 1
success 1
succession 1
sues 1
suicide 1
support 1
survives 1
sworn 1
system 3
take 1
talks 1
target 1
team 1
tennessee 1
that 5
the 60
their 2
them 1
these 1
this 1
threat 1
through 1
throughout 1
to 30
too 1
torpedoes 1
tract 1
trade 5
transactions 1
twelve 1
two 4
typical 1
united 1
units 1
up 1
upon 1
us 11
used 1
using 1
vehicles 2
vicepresident 3
virtually 1
wake 1
war 1
western 1
where 1
which 4
who 1
widely 1
will 2
with 11
world 1
yamata 4
york 1
