31139487
/m/0gh82mr
/m/0gh82mr
Danzy Senna
1998
18 2
336 1
5 1
a 11
about 3
accepting 1
actions 1
adopt 2
african 1
after 2
again 1
against 1
age 2
allowed 1
american 1
americans 1
an 2
and 21
angry 2
appearance 6
appearances 1
are 3
as 11
ascribe 1
associated 1
at 3
atmosphere 1
avoid 1
away 1
balloon 1
based 2
be 3
because 1
become 1
been 1
before 1
beginning 1
behavior 1
behind 1
being 2
believe 1
belly 1
berkeley 1
between 2
birdie 15
birdies 1
black 1
books 2
brazil 1
but 1
by 2
call 1
called 1
can 1
canaries 1
cannot 3
caucasia 2
caught 1
cause 2
caused 1
change 1
characteristic 2
child 2
childhood 1
cinnamonskinned 1
circumstances 1
classified 1
closeness 1
closest 1
coal 1
cole 8
color 1
come 1
comes 2
coming 1
constant 1
could 1
cover 1
creates 1
creation 1
culture 1
curly 1
danzy 2
darker 1
daughter 1
day 1
decides 1
deep 1
defining 1
described 1
determining 1
development 1
did 2
didnt 1
different 1
differing 1
disappear 1
displacement 1
division 1
dont 1
each 1
effect 1
effort 1
elemeno 1
else 1
end 3
environment 1
envisioning 1
especially 1
european 1
even 1
eventually 1
ever 1
exists 1
experienced 1
facade 1
fact 1
facts 1
false 1
family 5
father 9
fathers 1
fbi 1
fear 1
find 2
flees 1
for 9
forced 2
forget 1
forming 1
from 2
fuck 1
fucking 1
fully 1
gave 1
girl 2
girlfriend 1
girls 3
go 1
going 1
goldman 1
greater 1
grew 2
grows 1
hair 1
hairedsenna 1
hard 1
harmonious 1
has 5
have 1
having 2
heard 1
her 39
herself 1
hints 1
his 2
home 1
hopes 1
i 3
identify 1
identities 2
identity 2
if 1
immaturity 1
in 19
inability 1
indistinguishable 1
insensible 1
irony 1
is 16
it 3
jesse 1
jewish 2
knowing 1
lack 1
lam 1
language 1
lashing 1
leave 1
leaves 1
leaving 2
led 1
left 2
life 1
little 1
lives 1
logical 1
long 1
longer 1
looked 1
made 1
maintain 1
make 2
makebelieve 1
may 1
me 4
meeting 1
mines 1
mixed 1
mom 1
more 1
most 1
mother 8
mulatto 1
multiracial 2
mum 3
myself 1
name 1
narrator 1
near 1
never 1
new 4
no 1
not 2
nothing 1
novel 6
of 20
offers 1
on 5
once 1
only 1
or 2
order 2
out 1
over 1
page 1
pale 1
parent 1
parents 3
pass 2
passes 1
passing 2
people 1
performance 1
personality 1
planning 1
profound 1
race 5
racial 3
racially 1
real 1
realize 1
reason 1
recognize 1
reconcile 1
relationship 1
remain 1
repercussions 1
return 1
reunited 4
reunites 1
ridiculousness 2
rift 1
riverhead 2
ruined 1
runs 1
say 1
says 1
search 1
sees 1
senna 3
sense 3
separated 3
several 1
shallow 1
she 20
shows 1
sister 2
sisters 4
skin 2
so 5
society 2
some 2
someone 1
something 1
speak 1
splitting 1
states 1
stop 1
struggles 1
struggling 1
successfully 1
such 1
suggests 1
take 2
takes 2
that 13
the 33
their 7
them 6
there 2
they 1
thicker 1
think 2
this 2
those 1
through 1
time 2
to 27
too 1
traits 1
trouble 1
truly 1
two 3
unable 1
understand 5
united 1
unless 1
up 2
upon 1
was 5
way 1
ways 1
were 1
what 1
when 2
which 3
while 2
white 1
who 2
whom 1
why 4
will 1
with 14
working 2
would 1
writing 1
years 3
york 2
you 6
young 1
